Freeze Brand,Ear Tag,Breed,Sex,Date Of Birth,Date Of Acquisition,Age when acquired,Purchased From,Date Of Disposal,Disposed Of To,Date Of Death,Manner and Place of Destruction,Location,EID,Age(mths)
3251.0,UK107189103251,HOLSTEIN FRIESIAN,Female,2019-03-12,2019-05-24,0 yrs  2 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126405,25
3259.0,UK107189203259,HOLSTEIN FRIESIAN,Female,2019-04-17,2019-05-24,0 yrs  1 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126409,24
3260.0,UK107189303260,HOLSTEIN FRIESIAN,Female,2019-03-17,2019-05-24,0 yrs  2 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126410,25
3310.0,UK107189403310,HOLSTEIN FRIESIAN,Female,2019-04-13,2019-09-09,0 yrs  5 mths,,,nan,,,CocklePark,0,24
3331.0,UK107189403331,HOLSTEIN FRIESIAN,Female,2019-05-15,2019-09-09,0 yrs  4 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176126413,23
344.0,UK107189303344,HOLSTEIN FRIESIAN,Female,2019-06-15,2019-09-09,0 yrs  3 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,0,22
716.0,UK107189403345,HOLSTEIN FRIESIAN,Female,2019-06-24,2019-09-09,0 yrs  3 mths,,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308678,21
461.0,UK140858600461,Longhorn,Male,2017-05-13,2019-10-11,2 yrs  5 mths,,,nan,,,CocklePark,0,47
,UK140858600468,Longhorn,Male,2018-01-21,2019-10-11,1 yrs  9 mths,,,nan,,,CocklePark,0,39
,UK140858400480,Longhorn,Male,2018-04-07,2019-10-11,1 yrs  6 mths,,,nan,,,CocklePark,0,36
3376.0,UK107189703376,HOLSTEIN FRIESIAN,Female,2019-08-26,2019-12-18,0 yrs  4 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308675,19
3378.0,UK107189203378,Aberdeen-Angus,Female,2019-09-21,2019-12-18,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176308702,19
3384.0,UK107189103384,HOLSTEIN FRIESIAN,Female,2019-09-23,2019-12-18,0 yrs  3 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308709,18
3375.0,UK107189603375,HOLSTEIN FRIESIAN,Female,2019-09-03,2019-12-18,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176308695,19
3383.0,UK107189703383,HOLSTEIN FRIESIAN,Female,2019-09-23,2019-12-18,0 yrs  3 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308636,18
3385.0,UK107189203385,BRITISH BLUE,Female,2019-09-23,2019-12-18,0 yrs  3 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308672,18
698.0,UK107189703278,HOLSTEIN FRIESIAN,Female,2019-03-24,2020-02-24,0 yrs  11 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308689,24
699.0,UK107189103279,HOLSTEIN FRIESIAN,Female,2019-03-24,2020-02-24,0 yrs  11 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308643,24
3295.0,UK107189303295,HOLSTEIN FRIESIAN,Female,2019-04-01,2020-02-24,0 yrs  10 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308656,24
3301.0,UK107189203301,HOLSTEIN FRIESIAN,Female,2019-04-05,2020-02-24,0 yrs  10 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308646,24
3308.0,UK107189203308,HOLSTEIN FRIESIAN,Female,2019-04-11,2020-02-24,0 yrs  10 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308661,24
3311.0,UK107189503311,HOLSTEIN FRIESIAN,Female,2019-04-13,2020-02-24,0 yrs  10 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308633,24
3318.0,UK107189503318,HOLSTEIN FRIESIAN X,Female,2019-04-27,2020-02-24,0 yrs  10 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308725,23
3321.0,UK107189103321,HOLSTEIN FRIESIAN,Female,2019-05-07,2020-02-24,0 yrs  9 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308630,23
3325.0,UK107189503325,HOLSTEIN FRIESIAN X,Female,2019-05-08,2020-02-24,0 yrs  9 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308698,23
3326.0,UK107189603326,HOLSTEIN FRIESIAN,Female,2019-05-09,2020-02-24,0 yrs  9 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308637,23
3327.0,UK107189703327,Swedish Red X,Female,2019-05-09,2020-02-24,0 yrs  9 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308640,23
719.0,UK107189203357,HOLSTEIN FRIESIAN,Female,2019-07-17,2020-02-24,0 yrs  7 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308655,21
720.0,UK107189603361,Holstein,Female,2019-07-24,2020-02-24,0 yrs  7 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308629,20
721.0,UK107189703362,HOLSTEIN FRIESIAN,Female,2019-07-24,2020-02-24,0 yrs  7 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308692,20
722.0,UK107189103363,Holstein,Female,2019-07-26,2020-02-24,0 yrs  7 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308670,20
3364.0,UK107189203364,HOLSTEIN FRIESIAN,Female,2019-08-31,2020-02-24,0 yrs  6 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308635,19
3366.0,UK107189403366,HOLSTEIN FRIESIAN,Female,2019-08-31,2020-02-24,0 yrs  6 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308694,19
3367.0,UK107189503367,HOLSTEIN FRIESIAN,Female,2019-08-30,2020-02-24,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,0,19
3370.0,UK107189103370,HOLSTEIN FRIESIAN,Female,2019-08-27,2020-02-24,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176308721,20
3381.0,UK107189503381,HOLSTEIN FRIESIAN,Female,2019-09-22,2020-02-24,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,982000176308696,19
3392.0,UK107189203392,HOLSTEIN FRIESIAN,Female,2019-10-03,2020-02-24,0 yrs  4 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308713,18
3397.0,UK107189703397,HOLSTEIN FRIESIAN,Female,2019-10-14,2020-02-24,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176144246,18
3398.0,UK107189103398,HOLSTEIN FRIESIAN,Female,2019-10-14,2020-02-24,0 yrs  4 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176144278,18
,UK107189103405,HOLSTEIN FRIESIAN,Female,2020-01-01,2020-02-24,0 yrs  1 mths,Newcastle University,,nan,,,CocklePark,982000176144280,15
3402.0,UK107189503402,HOLSTEIN FRIESIAN,Female,2019-11-03,2020-02-24,0 yrs  3 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176144239,17
3403.0,UK107189603403,HOLSTEIN FRIESIAN,Female,2019-11-03,2020-02-24,0 yrs  3 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308648,17
3404.0,UK107189703404,HOLSTEIN FRIESIAN,Female,2019-11-03,2020-02-24,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176144241,17
3406.0,UK107189203406,Swedish Red X,Female,2019-11-03,2020-02-24,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176144284,17
3407.0,UK107189303407,HOLSTEIN FRIESIAN,Female,2019-11-03,2020-02-24,0 yrs  3 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308714,17
,UK107189603473,HOLSTEIN FRIESIAN,Female,2020-01-10,2020-02-24,0 yrs  1 mths,Newcastle University,,nan,,,CocklePark,982000176157039,15
,UK107189103475,Holstein,Female,2019-12-30,2020-02-24,0 yrs  2 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176157041,15
,UK107189403429,HOLSTEIN FRIESIAN,Female,2019-12-28,2020-02-24,0 yrs  2 mths,Newcastle University,,nan,,,CocklePark,982000176144282,15
,UK107189503430,HOLSTEIN FRIESIAN,Female,2019-12-28,2020-02-24,0 yrs  2 mths,Newcastle University,,nan,,,CocklePark,982000176144254,15
,UK107189103419,HOLSTEIN FRIESIAN,Female,2019-12-28,2020-02-24,0 yrs  2 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176144281,15
,UK107189303421,HOLSTEIN FRIESIAN,Female,2019-12-28,2020-02-24,0 yrs  2 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308631,15
,UK107189403422,HOLSTEIN FRIESIAN,Female,2019-12-29,2020-02-24,0 yrs  2 mths,Newcastle University,,nan,,,CocklePark,982000176144251,15
,UK107189603424,HOLSTEIN FRIESIAN,Female,2019-12-29,2020-02-24,0 yrs  2 mths,Newcastle University,,nan,,,CocklePark,982000176308649,15
,UK107189203427,HOLSTEIN FRIESIAN X,Female,2019-12-30,2020-02-24,0 yrs  2 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308657,15
,UK107189103426,Swedish Red X,Female,2019-12-30,2020-02-24,0 yrs  2 mths,Newcastle University,,nan,,,CocklePark,982000176308639,15
,UK107189503423,HOLSTEIN FRIESIAN,Female,2019-12-30,2020-02-24,0 yrs  2 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308662,15
,UK107189203434,Holstein,Female,2019-12-30,2020-02-24,0 yrs  2 mths,Newcastle University,,nan,,,CocklePark,982000176308708,15
,UK107189203476,HOLSTEIN FRIESIAN,Female,2020-01-01,2020-02-24,0 yrs  1 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176157042,15
,UK107189103433,HOLSTEIN FRIESIAN,Female,2020-01-01,2020-02-24,0 yrs  1 mths,Newcastle University,,nan,,,CocklePark,982000176308704,15
,UK107189303435,HOLSTEIN FRIESIAN,Female,2020-01-01,2020-02-24,0 yrs  1 mths,Newcastle University,,nan,,,CocklePark,982000176308628,15
,UK107189603431,HOLSTEIN X,Female,2020-01-01,2020-02-24,0 yrs  1 mths,Newcastle University,,nan,,,CocklePark,982000176308681,15
3369.0,UK107189703369,HOLSTEIN FRIESIAN,Female,2019-08-27,2020-02-24,0 yrs  6 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,0,19
3373.0,UK107189403373,HOLSTEIN FRIESIAN,Female,2019-09-01,2020-02-24,0 yrs  5 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176308653,19
3400.0,UK107189303400,HOLSTEIN FRIESIAN,Female,2019-10-15,2020-02-24,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,0,18
,UK107189203462,HOLSTEIN FRIESIAN,Female,2020-01-02,2020-05-13,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157028,15
,UK107189103454,HOLSTEIN FRIESIAN,Female,2020-01-01,2020-05-13,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157020,15
,UK107189603480,HOLSTEIN FRIESIAN,Female,2020-01-25,2020-05-13,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157046,15
,UK107189603487,HOLSTEIN FRIESIAN,Female,2020-03-03,2020-05-13,0 yrs  2 mths,Newcastle University,,nan,,,CocklePark,982000176157053,13
,UK107189303477,HOLSTEIN FRIESIAN X,Female,2020-01-12,2020-05-13,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157043,15
,UK107189703467,HOLSTEIN FRIESIAN,Female,2020-01-05,2020-05-13,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157033,15
,UK107189303484,Swedish Red X,Female,2020-02-07,2020-05-13,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157050,14
,UK107189603466,HOLSTEIN FRIESIAN,Female,2020-01-05,2020-05-13,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157032,15
,UK107189203469,Swedish Red X,Female,2020-01-06,2020-05-13,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157035,15
,UK107189503486,HOLSTEIN FRIESIAN,Female,2020-02-24,2020-05-13,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157052,14
,UK107189403478,HOLSTEIN FRIESIAN,Female,2020-01-21,2020-05-13,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157044,15
,UK107189403471,HOLSTEIN FRIESIAN,Female,2020-01-07,2020-05-13,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157037,15
,UK107189503409,HOLSTEIN FRIESIAN,Bull,2019-11-03,2020-05-13,0 yrs  6 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,0,17
,UK107189203490,HOLSTEIN FRIESIAN,Female,2020-03-03,2020-05-13,0 yrs  2 mths,Newcastle University,,nan,,,CocklePark,982000176157056,13
,UK107189503507,HOLSTEIN FRIESIAN,Female,2020-04-12,2020-05-13,0 yrs  1 mths,Newcastle University,,nan,,,CocklePark,982000176157073,12
,UK107189303491,HOLSTEIN FRIESIAN,Female,2020-03-02,2020-05-13,0 yrs  2 mths,Newcastle University,,nan,,,CocklePark,982000176157057,13
,UK107189503493,HOLSTEIN FRIESIAN,Female,2020-04-10,2020-05-13,0 yrs  1 mths,Newcastle University,,nan,,,CocklePark,982000176157059,12
3414.0,UK107189303414,HOLSTEIN FRIESIAN,Female,2019-11-15,2020-05-14,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176308673,17
,UK107189703432,Swedish Red X,Female,2019-12-29,2020-05-14,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,0,15
3411.0,UK107189703411,HOLSTEIN FRIESIAN,Female,2019-11-28,2020-06-22,0 yrs  7 mths,Newcastle University,,nan,,,CocklePark,982000176308666,16
,UK107189203455,HOLSTEIN FRIESIAN X,Female,2020-01-02,2020-06-22,0 yrs  5 mths,Newcastle University,2021-04-09,31/377/0042 Nafferton Farm,,,CocklePark,982000176157021,15
,UK107189203497,HOLSTEIN FRIESIAN,Female,2020-04-02,2021-02-16,0 yrs  10 mths,Newcastle University,,nan,,,CocklePark,982000176157063,12
,UK107189203595,LONGHORN X,Female,2020-11-10,2021-02-16,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157161,5
,UK107189303519,HOLSTEIN FRIESIAN,Female,2020-04-10,2021-02-16,0 yrs  10 mths,Newcastle University,,nan,,,CocklePark,982000176157085,12
,UK107189303533,HOLSTEIN FRIESIAN,Female,2020-04-24,2021-02-16,0 yrs  10 mths,Newcastle University,,nan,,,CocklePark,982000176157099,12
,UK107189303589,BRITISH BLUE X,Bull,2020-11-05,2021-02-16,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157155,5
,UK107189303596,BRITISH FRIESIAN X,Bull,2020-11-15,2021-02-16,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157162,5
,UK 107189 303624,ABERDEEN ANGUS X,Bull,2020-07-18,2021-02-16,0 yrs  7 mths,Newcastle University,,nan,,,CocklePark,982000176157190,9
,UK107189403527,HOLSTEIN FRIESIAN,Female,2020-04-10,2021-02-16,0 yrs  10 mths,Newcastle University,,nan,,,CocklePark,982000176157093,12
,UK107189403590,LONGHORN X,Female,2020-11-10,2021-02-16,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157156,5
,UK107189403597,LONGHORN X,Female,2020-11-15,2021-02-16,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157163,5
,UK107189503584,LONGHORN X,Bull,2020-11-06,2021-02-16,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157150,5
,UK107189603515,HOLSTEIN FRIESIAN,Female,2020-04-15,2021-02-16,0 yrs  10 mths,Newcastle University,,nan,,,CocklePark,982000176157081,12
,UK107189603585,LONGHORN X,Female,2020-11-06,2021-02-16,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157151,5
,UK107189603592,LONGHORN X,Bull,2020-11-10,2021-02-16,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157158,5
,UK107189603676,LONGHORN X,Female,2020-09-20,2021-02-16,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,982000176157242,7
,UK107189403681,LONGHORN X,Bull,2020-10-01,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157247,6
,UK107189403688,LONGHORN X,Bull,2020-10-07,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157254,6
,UK107189503570,LONGHORN X,Bull,2020-10-27,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157136,5
,UK107189503577,LONGHORN X,Female,2020-11-01,2021-02-16,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157143,5
,UK107189503633,LONGHORN X,Female,2020-08-25,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157199,7
,UK107189503640,LONGHORN X,Female,2020-08-30,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157206,7
,UK107189503682,LONGHORN X,Female,2020-10-01,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157248,6
,UK107189503689,LONGHORN X,Female,2020-10-07,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157255,6
,UK107189603557,ABERDEEN ANGUS X,Female,2020-08-14,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157123,8
,UK107189603571,LONGHORN X,Bull,2020-10-27,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157137,5
,UK107189603578,LONGHORN X,Female,2020-10-30,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157144,5
,UK107189603641,Shorthorn,Bull,2020-08-30,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157207,7
,UK107189603655,LONGHORN X,Female,2020-09-03,2021-02-16,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,982000176157221,7
,UK107189603683,LONGHORN X,Female,2020-10-01,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157249,6
,UK107189703558,Longhorn,Female,2020-08-23,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157124,8
,UK107189703572,ABERDEEN ANGUS X,Female,2020-10-30,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157138,5
,UK107189703579,LONGHORN X,Bull,2020-10-30,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157145,5
,UK107189703635,LONGHORN X,Bull,2020-08-27,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157201,7
,UK107189703642,ABERDEEN ANGUS X,Female,2020-08-31,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157208,7
,UK107189703663,LONGHORN X,Female,2020-09-13,2021-02-16,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,982000176157229,7
,UK107189703677,LONGHORN X,Female,2020-09-20,2021-02-16,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,982000176157243,7
,UK107189703684,LONGHORN X,Bull,2020-10-02,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157250,6
,UK107189703691,LONGHORN X,Female,2020-10-07,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157257,6
,UK107189203679,LONGHORN X,Female,2020-10-01,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157245,6
,UK107189303568,ABERDEEN ANGUS X,Female,2020-10-27,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157134,5
,UK107189303575,LONGHORN X,Bull,2020-11-01,2021-02-16,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157141,5
,UK107189303582,LONGHORN X,Bull,2020-11-02,2021-02-16,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157148,5
,UK107189303631,LONGHORN X,Female,2020-08-25,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157197,7
,UK107189303638,LONGHORN X,Female,2020-08-27,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157204,7
,UK107189303645,Shorthorn,Bull,2020-08-31,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157211,7
,UK107189303652,LONGHORN X,Bull,2020-09-02,2021-02-16,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,982000176157218,7
,UK107189303659,LONGHORN X,Female,2020-09-04,2021-02-16,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,0,7
,UK107189303673,LONGHORN X,Female,2020-09-19,2021-02-16,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,982000176157239,7
,UK107189303680,DAIRY SHORTHORN X,Bull,2020-10-01,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157246,6
,UK107189303687,HOLSTEIN FRIESIAN,Female,2020-10-07,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157253,6
,UK107189403576,LONGHORN X,Bull,2020-11-01,2021-02-16,0 yrs  3 mths,Newcastle University,,nan,,,CocklePark,982000176157142,5
,UK107189403625,LONGHORN X,Bull,2020-08-05,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157191,8
,UK107189403632,LONGHORN X,Female,2020-08-25,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157198,7
,UK107189403646,LONGHORN X,Bull,2020-08-31,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157212,7
,UK107189403653,LONGHORN X,Female,2020-09-02,2021-02-16,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,982000176157219,7
,UK107189403660,LONGHORN X,Female,2020-09-04,2021-02-16,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,982000176157226,7
,UK107189403674,LONGHORN X,Bull,2020-09-19,2021-02-16,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,982000176157240,7
,UK107189103559,LONGHORN X,Female,2020-08-23,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157125,8
,UK107189103566,LONGHORN X,Bull,2020-10-27,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157132,5
,UK107189103573,ABERDEEN ANGUS X,Bull,2020-10-30,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157139,5
,UK107189103580,LONGHORN X,Female,2020-10-30,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157146,5
,UK107189103629,LONGHORN X,Bull,2020-08-24,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157195,7
,UK107189103636,LONGHORN X,Female,2020-08-27,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157202,7
,UK107189103643,LONGHORN X,Bull,2020-08-31,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157209,7
,UK107189103657,LONGHORN X,Female,2020-09-03,2021-02-16,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,982000176157223,7
,UK107189103671,LONGHORN X,Bull,2020-09-13,2021-02-16,0 yrs  5 mths,Newcastle University,,nan,,,CocklePark,982000176157237,7
,UK107189103685,LONGHORN X,Bull,2020-10-02,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157251,6
,UK107189203560,LONGHORN X,Female,2020-08-24,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157126,7
,UK107189203581,LONGHORN X,Female,2020-10-30,2021-02-16,0 yrs  4 mths,Newcastle University,,nan,,,CocklePark,982000176157147,5
,UK107189203630,LONGHORN X,Female,2020-08-24,2021-02-16,0 yrs  6 mths,Newcastle University,,nan,,,CocklePark,982000176157196,7
