Ear Tag,Breed,Sex,Date Of Birth,Date Of Disposal,Disposed Of To,Date Of Death,Age(mths),
UK107189102131,HOLSTEIN FRIESIAN,Female,16/12/2013,,,21/09/2020,82,
UK107189102460,HOLSTEIN FRIESIAN X,Female,22/10/2015,,,,66,
UK107189402463,HOLSTEIN FRIESIAN,Female,24/10/2015,17/04/2020,Linden Foods,,54,
UK107189602486,HOLSTEIN FRIESIAN,Female,15/11/2015,,,,65,
UK107189102488,Swedish Red X,Female,15/11/2015,,,,65,
UK107189702508,Swedish Red X,Female,07/12/2015,,,,65,
UK107189302532,HOLSTEIN FRIESIAN,Female,08/01/2016,24/04/2020,Linden Foods,,52,
UK107189702536,HOLSTEIN FRIESIAN,Female,18/01/2016,,,,63,
UK107189202538,HOLSTEIN FRIESIAN,Female,22/01/2016,,,,63,
UK107189702123,HOLSTEIN FRIESIAN,Female,09/12/2013,,,02/03/2021,88,
UK107189602178,HOLSTEIN FRIESIAN,Female,07/04/2014,,,,85,
UK107189102208,HOLSTEIN FRIESIAN X,Female,27/06/2014,,,14/01/2020,67,
UK107189502212,HOLSTEIN FRIESIAN,Female,30/06/2014,,,30/09/2020,76,
UK107189602213,HOLSTEIN FRIESIAN,Female,02/07/2014,,,27/07/2020,73,
UK107189102215,HOLSTEIN FRIESIAN,Female,09/07/2014,,,,82,
UK107189202244,HOLSTEIN FRIESIAN,Female,10/09/2014,,,,80,
UK107189602248,HOLSTEIN FRIESIAN,Female,14/09/2014,,,,80,
UK107189702305,HOLSTEIN FRIESIAN,Female,15/11/2014,,,,78,
UK107189402323,HOLSTEIN FRIESIAN,Female,18/12/2014,,,,76,
UK107189702599,HOLSTEIN FRIESIAN,Female,22/05/2016,,,27/02/2019,33,
UK107189102761,BRITISH FRIESIAN X,Female,09/02/2017,,,,50,
UK107189202279,HOLSTEIN FRIESIAN,Female,06/07/2015,,,,70,
UK107189502303,HOLSTEIN FRIESIAN,Female,10/11/2014,18/02/2021,Linden Foods,,76,
UK107189202307,HOLSTEIN FRIESIAN,Female,16/11/2014,24/04/2020,Linden Foods,,66,
UK107189202314,Swedish Red X,Female,09/12/2014,,,,77,
UK107189502317,HOLSTEIN FRIESIAN,Female,14/12/2014,29/11/2019,SH2056 QUARRY COTTAGES,,60,
UK107189602318,HOLSTEIN FRIESIAN,Female,14/12/2014,29/11/2019,SH2056 QUARRY COTTAGES,,60,
UK107189702319,HOLSTEIN FRIESIAN,Female,14/12/2014,,,,77,
UK107189102320,Swedish Red X,Female,16/12/2014,30/07/2020,Linden Foods,,68,
UK107189202328,HOLSTEIN FRIESIAN,Female,31/12/2014,11/11/2020,Linden Foods,,71,
UK107189602332,HOLSTEIN FRIESIAN,Female,07/01/2015,29/10/2020,Linden Foods,,70,
UK107189502338,HOLSTEIN FRIESIAN,Female,19/01/2015,,,,75,
UK107189102355,HOLSTEIN FRIESIAN,Female,28/02/2015,17/04/2020,Linden Foods,,62,
UK107189102362,HOLSTEIN FRIESIAN,Female,11/03/2015,,,,74,
UK107189102369,HOLSTEIN FRIESIAN,Female,26/03/2015,18/02/2021,Linden Foods,,71,
UK107189202384,HOLSTEIN FRIESIAN,Female,01/05/2015,,,,72,
UK107189402393,HOLSTEIN FRIESIAN X,Female,16/05/2015,,,,71,
UK107189502401,HOLSTEIN FRIESIAN,Female,01/07/2015,,,,70,
UK107189502408,HOLSTEIN FRIESIAN,Female,13/08/2015,,,26/11/2020,64,
UK107189202426,HOLSTEIN FRIESIAN,Female,02/09/2015,,,,68,
UK107189602430,HOLSTEIN FRIESIAN,Female,06/09/2015,,,,68,
UK107189202433,HOLSTEIN FRIESIAN,Female,07/09/2015,,,,68,
UK107189502436,HOLSTEIN FRIESIAN,Female,11/09/2015,,,,68,
UK107189202440,SWEDISH RED n WHITE X,Female,17/09/2015,,,,67,
UK107189302441,HOLSTEIN FRIESIAN,Female,17/09/2015,14/02/2020,SH2056 QUARRY COTTAGES,,53,
UK107189502443,Swedish Red X,Female,20/09/2015,,,24/03/2021,67,
UK107189202454,HOLSTEIN FRIESIAN,Female,14/10/2015,11/11/2020,Linden Foods,,61,
UK107189702459,HOLSTEIN FRIESIAN,Female,18/10/2015,,,,66,
UK107189702466,Swedish Red X,Female,31/10/2015,18/02/2021,Linden Foods,,64,
UK107189402470,HOLSTEIN FRIESIAN,Female,05/11/2015,,,,66,
UK107189502471,HOLSTEIN FRIESIAN,Female,05/11/2015,,,02/07/2019,44,
UK107189202475,Swedish Red X,Female,07/11/2015,16/07/2020,Linden Foods,,57,
UK107189302483,Swedish Red X,Female,11/11/2015,,,,65,
UK107189102495,HOLSTEIN FRIESIAN,Female,21/11/2015,30/07/2020,Linden Foods,,57,
UK107189502506,Swedish Red X,Female,03/12/2015,,,,65,
UK581600100122,Aberdeen-Angus,Male,02/11/2013,,,12/12/2020,86,
UK106710301441,HOLSTEIN FRIESIAN,Female,19/09/2009,,,02/08/2019,120,
UK106710601829,HOLSTEIN FRIESIAN,Female,22/10/2012,14/02/2020,SH2056 QUARRY COTTAGES,,89,
UK106710101992,HOLSTEIN FRIESIAN,Female,22/12/2013,14/02/2020,SH2056 QUARRY COTTAGES,,74,
UK106710302134,HOLSTEIN FRIESIAN,Female,09/12/2014,,,,77,
UK106710602200,HOLSTEIN FRIESIAN,Female,15/04/2015,14/02/2020,SH2056 QUARRY COTTAGES,,58,
UK106710102202,HOLSTEIN FRIESIAN,Female,17/04/2015,,,,72,
UK106710402324,HOLSTEIN FRIESIAN,Female,08/02/2016,,,,63,
UK106710502325,HOLSTEIN FRIESIAN,Female,12/02/2016,,,24/03/2020,50,
UK106710102349,HOLSTEIN FRIESIAN,Female,18/03/2016,,,,61,
UK106710402352,HOLSTEIN FRIESIAN,Female,23/03/2016,18/02/2021,Linden Foods,,59,
UK106710702355,HOLSTEIN FRIESIAN,Female,27/03/2016,,,,61,
UK106710302358,HOLSTEIN FRIESIAN,Female,04/04/2016,,,,61,
UK106710402359,HOLSTEIN FRIESIAN,Female,05/04/2016,,,31/03/2020,48,
UK106710602361,HOLSTEIN FRIESIAN,Female,06/04/2016,,,,61,
UK106710702362,HOLSTEIN FRIESIAN,Female,07/04/2016,,,,61,
UK106710701991,HOLSTEIN FRIESIAN,Female,21/12/2013,,,,88,
UK106710502010,HOLSTEIN FRIESIAN,Female,21/02/2014,14/02/2020,SH2056 QUARRY COTTAGES,,72,
UK106710402044,HOLSTEIN FRIESIAN,Female,12/04/2014,06/12/2019,SH2056 QUARRY COTTAGES,,68,
UK106710402065,HOLSTEIN FRIESIAN,Female,25/05/2014,,,,83,
UK106710202119,HOLSTEIN FRIESIAN,Female,26/10/2014,,,,78,
UK106710102167,HOLSTEIN FRIESIAN,Female,26/02/2015,06/12/2020,SH2056 QUARRY COTTAGES,,70,
UK106710302169,HOLSTEIN FRIESIAN,Female,01/03/2015,,,12/03/2021,73,
UK106710102174,HOLSTEIN FRIESIAN,Female,06/03/2015,24/04/2020,Linden Foods,,62,
UK106710302204,HOLSTEIN FRIESIAN,Female,22/04/2015,,,27/07/2020,64,
UK106710301805,HOLSTEIN FRIESIAN,Female,05/09/2012,16/07/2020,Linden Foods,,95,
UK106710201853,HOLSTEIN FRIESIAN,Female,22/01/2013,,,,100,
UK106710401869,HOLSTEIN FRIESIAN,Female,07/03/2013,,,25/02/2020,84,
UK106710301903,HOLSTEIN FRIESIAN,Female,30/06/2013,,,,94,
UK106710401911,HOLSTEIN FRIESIAN,Female,13/07/2013,,,17/01/2021,91,
UK106710601913,HOLSTEIN FRIESIAN,Female,17/07/2013,,,,94,
UK106710101922,HOLSTEIN FRIESIAN,Female,27/07/2013,,,,93,
UK106710101943,HOLSTEIN FRIESIAN,Female,16/09/2013,,,15/04/2020,80,
UK106710601962,HOLSTEIN FRIESIAN,Female,12/10/2013,14/02/2020,SH2056 QUARRY COTTAGES,,77,
UK106710701977,HOLSTEIN FRIESIAN,Female,18/11/2013,,,,90,
UK106710101978,HOLSTEIN FRIESIAN,Female,25/11/2013,,,,89,
UK106710301987,HOLSTEIN FRIESIAN,Female,09/12/2013,,,,89,
UK106710601990,HOLSTEIN FRIESIAN,Female,20/12/2013,,,,89,
UK106710502003,HOLSTEIN FRIESIAN,Female,21/01/2014,14/02/2020,SH2056 QUARRY COTTAGES,,73,
UK106710202007,HOLSTEIN FRIESIAN,Female,07/02/2014,,,05/11/2020,82,
UK106710302029,HOLSTEIN FRIESIAN,Female,18/03/2014,,,,86,
UK106710502045,HOLSTEIN FRIESIAN,Female,15/04/2014,14/02/2020,SH2056 QUARRY COTTAGES,,71,
UK106710302050,HOLSTEIN FRIESIAN,Female,26/04/2014,16/07/2020,Linden Foods,,75,
UK106710502066,HOLSTEIN FRIESIAN,Female,26/05/2014,16/07/2020,Linden Foods,,74,
UK106710402079,HOLSTEIN FRIESIAN,Female,10/07/2014,,,,82,
UK106710702096,HOLSTEIN FRIESIAN,Female,06/09/2014,11/11/2020,Linden Foods,,75,
UK106710402107,HOLSTEIN FRIESIAN,Female,04/10/2014,,,,79,
UK106710202112,HOLSTEIN FRIESIAN,Female,15/10/2014,,,05/01/2021,75,
UK106710702138,HOLSTEIN FRIESIAN,Female,27/12/2014,,,,76,
UK106710402142,HOLSTEIN FRIESIAN,Female,06/01/2015,,,,76,
UK106710502143,HOLSTEIN FRIESIAN,Female,08/01/2015,,,12/10/2020,70,
UK106710202154,HOLSTEIN FRIESIAN,Female,23/01/2015,,,26/11/2020,71,
UK106710102160,HOLSTEIN FRIESIAN,Female,14/02/2015,,,,74,
UK106710702166,HOLSTEIN FRIESIAN,Female,26/02/2015,11/11/2020,Linden Foods,,69,
UK106710102181,HOLSTEIN FRIESIAN,Female,21/03/2015,,,,73,
UK106710102195,HOLSTEIN FRIESIAN,Female,08/04/2015,,,13/01/2020,58,
UK106710202217,HOLSTEIN FRIESIAN,Female,25/05/2015,,,25/02/2020,57,
UK106710502220,HOLSTEIN FRIESIAN,Female,01/06/2015,,,,71,
UK106710302225,HOLSTEIN FRIESIAN,Female,09/06/2015,,,,71,
UK106710402226,HOLSTEIN FRIESIAN,Female,12/06/2015,25/06/2020,Linden Foods,,61,
UK106710402240,HOLSTEIN FRIESIAN,Female,16/07/2015,,,,69,
UK106710302246,HOLSTEIN FRIESIAN,Female,01/08/2015,29/10/2020,Linden Foods,,63,
UK106710502248,HOLSTEIN FRIESIAN,Female,08/08/2015,,,05/10/2020,62,
UK106710202252,HOLSTEIN FRIESIAN,Female,12/09/2015,06/12/2019,SH2056 QUARRY COTTAGES,,51,
UK106710602256,HOLSTEIN FRIESIAN,Female,14/09/2015,,,,67,
UK106710502269,HOLSTEIN FRIESIAN,Female,24/10/2015,,,,66,
UK106710702278,HOLSTEIN FRIESIAN,Female,10/11/2015,,,,66,
UK106710202287,HOLSTEIN FRIESIAN,Female,01/12/2015,14/02/2020,SH2056 QUARRY COTTAGES,,51,
UK106710102300,HOLSTEIN FRIESIAN,Female,27/12/2015,,,,64,
UK106710102370,HOLSTEIN FRIESIAN,Female,21/04/2016,,,,60,
UK106710501611,HOLSTEIN FRIESIAN,Female,28/01/2011,,,07/09/2020,117,
UK106710401799,HOLSTEIN FRIESIAN,Female,20/08/2012,,,,105,
UK106710301854,HOLSTEIN FRIESIAN,Female,23/01/2013,,,,100,
UK106710501891,HOLSTEIN FRIESIAN,Female,07/05/2013,,,,96,
UK106710401897,HOLSTEIN FRIESIAN,Female,16/06/2013,,,,95,
UK106710301910,HOLSTEIN FRIESIAN,Female,10/07/2013,,,27/08/2020,86,
UK106710202000,HOLSTEIN FRIESIAN,Female,17/01/2014,14/02/2020,SH2056 QUARRY COTTAGES,,73,
UK106710202049,HOLSTEIN FRIESIAN,Female,25/04/2014,06/12/2019,SH2056 QUARRY COTTAGES,,68,
UK106710102069,HOLSTEIN FRIESIAN,Female,07/06/2014,,,,83,
UK106710102090,HOLSTEIN FRIESIAN,Female,24/08/2014,,,,80,
UK106710602095,HOLSTEIN FRIESIAN,Female,04/09/2014,11/11/2020,Linden Foods,,75,
UK106710402100,HOLSTEIN FRIESIAN,Female,17/09/2014,11/11/2020,Linden Foods,,74,
UK106710402114,HOLSTEIN FRIESIAN,Female,18/10/2014,25/06/2020,Linden Foods,,69,
UK106710102118,HOLSTEIN FRIESIAN,Female,27/10/2014,29/11/2019,SH2056 QUARRY COTTAGES,,61,
UK106710402121,HOLSTEIN FRIESIAN,Female,30/10/2014,,,27/08/2020,70,
UK106710102125,HOLSTEIN FRIESIAN,Female,06/11/2014,,,,78,
UK106710302127,HOLSTEIN FRIESIAN,Female,11/11/2014,,,19/11/2020,73,
UK106710702131,HOLSTEIN FRIESIAN,Female,29/11/2014,,,,77,
UK106710102139,HOLSTEIN FRIESIAN,Female,29/12/2014,,,,76,
UK106710302141,HOLSTEIN FRIESIAN,Female,04/01/2015,,,,76,
UK106710602144,HOLSTEIN FRIESIAN,Female,09/01/2015,,,,76,
UK106710202147,HOLSTEIN FRIESIAN,Female,13/01/2015,,,,76,
UK106710602151,HOLSTEIN FRIESIAN,Female,16/01/2015,18/02/2021,Linden Foods,,74,
UK106710402170,HOLSTEIN FRIESIAN,Female,02/03/2015,29/12/2019,SH2056 QUARRY COTTAGES,,58,
UK106710502171,HOLSTEIN FRIESIAN,Female,04/03/2015,29/10/2020,Linden Foods,,68,
UK106710702173,HOLSTEIN FRIESIAN,Female,05/03/2015,11/11/2020,Linden Foods,,69,
UK106710702180,HOLSTEIN FRIESIAN,Female,19/03/2015,,,,73,
UK106710702229,HOLSTEIN FRIESIAN,Female,22/06/2015,,,,70,
UK106710102230,HOLSTEIN FRIESIAN,Female,23/06/2015,16/07/2020,Linden Foods,,61,
UK106710602263,HOLSTEIN FRIESIAN,Female,27/09/2015,,,,67,
UK106710702264,HOLSTEIN FRIESIAN,Female,01/10/2015,25/06/2020,Linden Foods,,57,
UK106710202266,HOLSTEIN FRIESIAN,Female,08/10/2015,16/07/2020,Linden Foods,,58,
UK106710302267,HOLSTEIN FRIESIAN,Female,12/10/2015,,,,66,
UK106710102272,HOLSTEIN FRIESIAN,Female,02/11/2015,14/02/2020,SH2056 QUARRY COTTAGES,,52,
UK106710402275,HOLSTEIN FRIESIAN,Female,07/11/2015,,,,66,
UK106710602277,HOLSTEIN FRIESIAN,Female,09/11/2015,14/02/2020,SH2056 QUARRY COTTAGES,,51,
UK106710702285,HOLSTEIN FRIESIAN,Female,30/11/2015,29/11/2019,SH2056 QUARRY COTTAGES,,48,
UK106710502290,HOLSTEIN FRIESIAN,Female,05/12/2015,,,20/10/2020,59,
UK106710702292,HOLSTEIN FRIESIAN,Female,13/12/2015,18/02/2021,Linden Foods,,63,
UK106710202294,HOLSTEIN FRIESIAN,Female,16/12/2015,,,25/05/2020,54,
UK106710702299,HOLSTEIN FRIESIAN,Female,24/12/2015,,,06/04/2020,52,
UK106710702306,HOLSTEIN FRIESIAN,Female,11/01/2016,,,,63,
UK106710102314,HOLSTEIN FRIESIAN,Female,25/01/2016,,,30/04/2019,39,
UK106710202315,HOLSTEIN FRIESIAN,Female,26/01/2016,,,,63,
UK106710302323,HOLSTEIN FRIESIAN,Female,07/02/2016,,,,63,
UK107189202468,Swedish Red X,Female,04/11/2015,,,,66,
UK107189302490,HOLSTEIN FRIESIAN,Female,18/11/2015,,,,65,
UK107189602500,Swedish Red X,Female,26/11/2015,,,,65,
UK107189702515,Swedish Red X,Female,13/12/2015,,,,64,
UK107189102558,HOLSTEIN FRIESIAN,Female,23/02/2016,,,,62,
UK107189602619,HOLSTEIN FRIESIAN,Female,18/07/2016,,,,57,
UK107189102621,HOLSTEIN FRIESIAN,Female,22/07/2016,14/02/2020,SH2056 QUARRY COTTAGES,,43,
UK107189202636,HOLSTEIN FRIESIAN,Female,22/08/2016,14/02/2020,SH2056 QUARRY COTTAGES,,42,
UK107189702641,HOLSTEIN FRIESIAN,Female,03/09/2016,,,,56,
UK107189202566,HOLSTEIN FRIESIAN,Female,05/03/2016,,,,62,
UK107189102628,HOLSTEIN FRIESIAN,Female,03/08/2016,,,02/12/2019,40,
UK106710301917,HOLSTEIN FRIESIAN,Female,23/07/2013,,,,94,
UK106710702348,HOLSTEIN FRIESIAN,Female,18/03/2016,29/11/2019,SH2056 QUARRY COTTAGES,,45,
UK107189302469,HOLSTEIN FRIESIAN,Female,05/11/2015,,,,66,
UK107189602535,HOLSTEIN FRIESIAN,Female,17/01/2016,,,,63,
UK107189302588,HOLSTEIN FRIESIAN,Female,29/04/2016,25/06/2020,Linden Foods,,50,
UK107189602591,HOLSTEIN FRIESIAN,Female,05/05/2016,14/02/2020,SH2056 QUARRY COTTAGES,,46,
UK107189102600,HOLSTEIN FRIESIAN,Female,23/05/2016,,,,59,
UK107189202622,HOLSTEIN FRIESIAN,Female,24/07/2016,,,,57,
UK107189602626,HOLSTEIN FRIESIAN,Female,03/08/2016,,,,57,
UK107189602633,HOLSTEIN FRIESIAN X,Female,16/08/2016,,,,56,
UK107189402645,HOLSTEIN FRIESIAN,Female,20/09/2016,,,,55,
UK107189303176,HOLSTEIN FRIESIAN,Male,01/12/2018,,,03/01/2019,1,
UK107189703180,HOLSTEIN FRIESIAN,Female,03/12/2018,,,10/12/2018,0,
UK107189103181,HOLSTEIN FRIESIAN,Male,04/12/2018,,,24/12/2018,0,
UK107189203189,LIMOUSIN X,Male,25/12/2018,,,25/12/2018,0,
UK106710602403,HOLSTEIN FRIESIAN,Female,22/06/2016,,,,58,
UK106710602431,HOLSTEIN FRIESIAN,Female,10/08/2016,,,04/12/2020,52,
UK106710202441,HOLSTEIN FRIESIAN,Female,05/09/2016,,,,56,
UK106710302442,HOLSTEIN FRIESIAN,Female,06/09/2016,25/06/2020,Linden Foods,,46,
UK106710302449,HOLSTEIN FRIESIAN,Female,20/09/2016,,,25/02/2020,41,
UK106710502451,HOLSTEIN FRIESIAN,Female,27/09/2016,,,,55,
UK106710402457,HOLSTEIN FRIESIAN,Female,24/10/2016,,,12/10/2020,48,
UK106710102461,HOLSTEIN FRIESIAN,Female,29/10/2016,,,,54,
UK106710202476,HOLSTEIN FRIESIAN,Female,22/11/2016,30/07/2020,Linden Foods,,44,
UK106710302477,HOLSTEIN FRIESIAN,Female,26/11/2016,,,13/07/2020,44,
UK106710602480,HOLSTEIN FRIESIAN,Female,05/12/2016,,,,52,
UK106710102482,HOLSTEIN FRIESIAN,Female,14/12/2016,,,,52,
UK106710202483,HOLSTEIN FRIESIAN,Female,16/12/2016,30/07/2020,Linden Foods,,44,
UK106710702502,HOLSTEIN FRIESIAN,Female,16/01/2017,,,,51,
UK106710202504,HOLSTEIN FRIESIAN,Female,18/01/2017,,,,51,
UK106710302512,HOLSTEIN FRIESIAN,Female,26/01/2017,,,,51,
UK106710602522,HOLSTEIN FRIESIAN,Female,08/02/2017,16/07/2020,Linden Foods,,41,
UK106710202539,HOLSTEIN FRIESIAN,Female,06/03/2017,,,,49,
UK107189602479,HOLSTEIN FRIESIAN,Female,09/11/2015,,,,66,
UK107189502730,HOLSTEIN FRIESIAN,Female,16/12/2016,29/11/2019,SH2056 QUARRY COTTAGES,,35,
UK107189602731,HOLSTEIN FRIESIAN,Female,19/12/2016,,,,52,
UK107189502751,HOLSTEIN FRIESIAN,Female,19/01/2017,29/11/2019,SH2056 QUARRY COTTAGES,,34,
UK107189202755,Swedish Red X,Female,26/01/2017,,,,51,
UK107189503255,Holstein,Female,13/03/2019,,,25/03/2019,0,
UK107189403268,BRITISH BLUE X,Female,18/03/2019,08/05/2019,08/067/8019-01 BORDERWAY MART,,1,
UK106710402366,HOLSTEIN FRIESIAN,Female,16/04/2016,29/10/2020,Linden Foods,,55,
UK107189402701,HOLSTEIN FRIESIAN X,Female,24/11/2016,,,20/10/2020,47,
UK107189703278,HOLSTEIN FRIESIAN,Female,24/03/2019,24/02/2020,31/227/0024 Cockle Park,,11,
UK107189103279,HOLSTEIN FRIESIAN,Female,24/03/2019,24/02/2020,31/227/0024 Cockle Park,,11,
UK107189103286,ABERDEEN ANGUS X,Female,26/03/2019,07/05/2019,08 Cumbria,,1,
UK106710202455,HOLSTEIN FRIESIAN,Female,18/10/2016,,,,54,
UK107189102677,Swedish Red X,Female,27/10/2016,29/11/2019,SH2056 QUARRY COTTAGES,,37,
UK107189303295,HOLSTEIN FRIESIAN,Female,01/04/2019,24/02/2020,31/227/0024 Cockle Park,,10,
UK107189403303,LIMOUSIN X,Male,03/04/2019,08/05/2019,08/067/8019-01 BORDERWAY MART,,1,
UK107189603284,ABERDEEN ANGUS X,Male,04/04/2019,07/05/2019,08 Cumbria,,1,
UK107189503262,BRITISH BLUE X,Male,05/04/2019,08/05/2019,08 Cumbria,,1,
UK107189203301,HOLSTEIN FRIESIAN,Female,05/04/2019,24/02/2020,31/227/0024 Cockle Park,,10,
UK107189303302,ABERDEEN ANGUS X,Male,05/04/2019,08/05/2019,08/067/8019-01 BORDERWAY MART,,1,
UK107189603305,ABERDEEN ANGUS X,Female,08/04/2019,08/05/2019,08/067/8019-01 BORDERWAY MART,,1,
UK107189203308,HOLSTEIN FRIESIAN,Female,11/04/2019,24/02/2020,31/227/0024 Cockle Park,,10,
UK107189303309,HOLSTEIN FRIESIAN,Female,13/04/2019,09/09/2019,31/227/0024 COCKLE PARK EXP FARM,,4,
UK107189403310,HOLSTEIN FRIESIAN,Female,13/04/2019,09/09/2019,31/227/0024 Cockle Park,,4,
UK107189503311,HOLSTEIN FRIESIAN,Female,13/04/2019,24/02/2020,31/227/0024 Cockle Park,,10,
UK107189703313,HOLSTEIN FRIESIAN,Female,14/04/2019,24/02/2020,31/227/0024 Cockle Park,,10,
UK107189203315,LIMOUSIN X,Male,22/04/2019,08/05/2019,08/067/8019-01 BORDERWAY MART,,0,
UK107189403317,LIMOUSIN X,Female,27/04/2019,08/05/2019,08/067/8019-01 BORDERWAY MART,,0,
UK107189503318,HOLSTEIN FRIESIAN X,Female,27/04/2019,24/02/2020,31/227/0024 Cockle Park,,10,
UK107189103321,HOLSTEIN FRIESIAN,Female,07/05/2019,24/02/2020,31/227/0024 Cockle Park,,9,
UK107189503325,HOLSTEIN FRIESIAN X,Female,08/05/2019,24/02/2020,31/227/0024 Cockle Park,,9,
UK107189603326,HOLSTEIN FRIESIAN,Female,09/05/2019,24/02/2020,31/227/0024 Cockle Park,,9,
UK107189703327,Swedish Red X,Female,09/05/2019,24/02/2020,31/227/0024 Cockle Park,,9,
