Freeze Brand,Ear Tag,Breed,Sex,Date Of Birth,Date Of Acquisition,Purchased From,Date Of Disposal,Disposed Of To,Date Of Death,Location,Group,Fqas,EID,Name,Age(mths),
183,UK107189301993,HOLSTEIN FRIESIAN,Female,23/03/2013,23/03/2013,,24/04/2020,Linden Foods,,,0,,982000176144308,,86,
1408,UK107189501568,MONTBELIARDE X,Female,02/12/2010,02/05/2013,,,,21/11/2019,,0,,0,,109,
422,UK107189101599,HOLSTEIN FRIESIAN,Female,07/02/2011,02/05/2013,,,,27/01/2020,,0,,982000176144315,,109,
433,UK107189101620,HOLSTEIN FRIESIAN,Female,19/03/2011,02/05/2013,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,982000176144331,,106,
435,UK107189101627,HOLSTEIN FRIESIAN,Female,27/03/2011,02/05/2013,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,982000176144320,,105,
436,UK107189201628,HOLSTEIN FRIESIAN,Female,02/04/2011,02/05/2013,,24/04/2020,Linden Foods,,,0,,982000176144147,,110,
4,UK107189401679,HOLSTEIN FRIESIAN,Female,11/07/2011,02/05/2013,,,,,,Autumn,,982000176072181,,119,
2,UK107189601681,HOLSTEIN FRIESIAN,Female,14/07/2011,02/05/2013,,24/04/2020,Linden Foods,,,0,,0,,106,
148,UK107189102026,HOLSTEIN FRIESIAN X,Female,10/06/2013,10/06/2013,,,,,,0,,982000176144143,,95,
23,UK107189202027,HOLSTEIN FRIESIAN,Female,11/06/2013,11/06/2013,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144323,,81,
180,UK107189402029,HOLSTEIN FRIESIAN,Female,18/06/2013,18/06/2013,,17/04/2020,Linden Foods,,,0,,982000176144152,,83,
231,UK107189602038,HOLSTEIN FRIESIAN,Female,05/07/2013,05/07/2013,,,,07/01/2021,,Autumn,,982000176144233,,91,
126,UK107189502114,HOLSTEIN FRIESIAN,Female,30/11/2013,30/11/2013,,,,,,0,,982000176308706,,89,
9,UK107189402134,HOLSTEIN FRIESIAN,Female,25/12/2013,25/12/2013,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,0,,72,
17,UK107189702137,HOLSTEIN FRIESIAN,Female,27/12/2013,27/12/2013,,16/07/2020,Linden Foods,,,0,,982000176144125,,79,
30,UK107189102138,HOLSTEIN FRIESIAN,Female,16/01/2014,16/01/2014,,,,,,0,,982000176144291,,88,
110,UK107189102145,HOLSTEIN FRIESIAN,Female,26/01/2014,26/01/2014,,,,,,Autumn,,982000176144117,,88,
193,UK107189102180,HOLSTEIN FRIESIAN,Female,12/04/2014,12/04/2014,,16/07/2020,Linden Foods,,,0,,982000176144190,,76,
46,UK107189402183,HOLSTEIN FRIESIAN,Female,16/04/2014,16/04/2014,,,,,,0,,982000176144150,,85,
62,UK107189301748,HOLSTEIN FRIESIAN,Female,06/12/2011,30/04/2014,,17/04/2020,Linden Foods,,,0,,0,,101,
459,UK107189201768,MONTBELIARDE X,Female,29/01/2012,30/04/2014,,16/07/2020,Linden Foods,,,0,,982000176144084,,103,
460,UK107189101774,HOLSTEIN FRIESIAN,Female,31/01/2012,30/04/2014,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,982000176144171,,95,
463,UK107189101795,HOLSTEIN FRIESIAN,Female,29/02/2012,30/04/2014,,,,,,0,,982000176072109,,111,
54,UK107189301811,Holstein,Female,29/03/2012,30/04/2014,,,,,,Autumn,,982000176144325,,110,
218,UK107189601814,Holstein,Female,07/04/2012,30/04/2014,,,,12/03/2021,,0,,982000176144139,,108,
112,UK107189401840,HOLSTEIN FRIESIAN,Female,29/05/2012,30/04/2014,,,,,,0,,982000176144221,,108,
144,UK107189401847,HOLSTEIN X,Female,19/06/2012,30/04/2014,,25/05/2020,Linden Foods,,,0,,982000176144230,,96,
186,UK107189602199,HOLSTEIN FRIESIAN,Female,26/05/2014,26/05/2014,,,,,,Autumn,,982000176144044,,84,
249,UK107189402204,HOLSTEIN FRIESIAN,Female,06/06/2014,06/06/2014,,,,02/09/2020,,0,,982000176072114,,76,
143,UK107189202209,HOLSTEIN FRIESIAN X,Female,28/06/2014,28/06/2014,,29/10/2020,Linden Foods,,,0,,0,,77,
50,UK107189102243,HOLSTEIN FRIESIAN,Female,07/09/2014,07/09/2014,,,,,,0,,982000176144069,,80,
243,UK107189702291,HOLSTEIN FRIESIAN,Female,17/10/2014,17/10/2014,,,,,,0,,0,,79,
230,UK107189602003,HOLSTEIN FRIESIAN,Female,10/04/2013,28/04/2015,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,0,,81,
210,UK107189302035,HOLSTEIN FRIESIAN,Female,29/06/2013,28/04/2015,,,,,,Autumn,,982000176144298,,95,
252,UK107189202048,HOLSTEIN FRIESIAN,Female,23/07/2013,28/04/2015,,,,20/10/2020,,0,,982000176144080,,88,
292,UK107189202055,HOLSTEIN FRIESIAN,Female,19/08/2013,28/04/2015,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144081,,79,
267,UK107189402057,Swedish Red X,Female,22/08/2013,28/04/2015,,,,19/11/2020,,0,,982000176144098,,88,
276,UK107189602059,HOLSTEIN FRIESIAN,Female,24/08/2013,28/04/2015,,29/11/2019,SH2056 QUARRY COTTAGES,,,0,,0,,76,
278,UK107189702060,HOLSTEIN FRIESIAN,Female,24/08/2013,28/04/2015,,,,,,Autumn,,982000176144105,,93,
289,UK107189602066,HOLSTEIN FRIESIAN,Female,30/08/2013,28/04/2015,,11/11/2020,Linden Foods,,,0,,982000176144310,,87,
471,UK107189202076,HOLSTEIN FRIESIAN,Female,03/10/2013,28/04/2015,,,,,,Autumn,,982000176144067,,91,
135,UK107189402127,HOLSTEIN FRIESIAN,Female,16/12/2013,28/04/2015,,,,,,Autumn,,982000176071939,,89,
175,UK107189102131,HOLSTEIN FRIESIAN,Female,16/12/2013,28/04/2015,,,,21/09/2020,,0,,982000176144327,,82,
322,UK107189102460,HOLSTEIN FRIESIAN X,Female,22/10/2015,22/10/2015,,,,,,0,,982000176144272,,66,
324,UK107189402463,HOLSTEIN FRIESIAN,Female,24/10/2015,24/10/2015,,17/04/2020,Linden Foods,,,0,,982000176144050,,54,
340,UK107189602486,HOLSTEIN FRIESIAN,Female,15/11/2015,15/11/2015,,,,,,Autumn,,982000176144085,,66,
342,UK107189102488,Swedish Red X,Female,15/11/2015,15/11/2015,,,,,,Autumn,,982000176144224,,66,
353,UK107189702508,Swedish Red X,Female,07/12/2015,07/12/2015,,,,,,Autumn,,982000176144126,,65,
31,UK107189302532,HOLSTEIN FRIESIAN,Female,08/01/2016,08/01/2016,,24/04/2020,Linden Foods,,,0,,982000176144153,,52,
55,UK107189702536,HOLSTEIN FRIESIAN,Female,18/01/2016,18/01/2016,,,,,,Autumn,,982000176144102,,63,
393,UK107189202538,HOLSTEIN FRIESIAN,Female,22/01/2016,22/01/2016,,,,,,Autumn,,982000176072155,,63,
64,UK107189702123,HOLSTEIN FRIESIAN,Female,09/12/2013,25/04/2016,,,,02/03/2021,,Autumn,,982000176071966,,88,
140,UK107189602178,HOLSTEIN FRIESIAN,Female,07/04/2014,25/04/2016,,,,,,Spring,,982000176144159,,85,
123,UK107189102208,HOLSTEIN FRIESIAN X,Female,27/06/2014,25/04/2016,,,,14/01/2020,,0,,982000176144179,,67,
251,UK107189502212,HOLSTEIN FRIESIAN,Female,30/06/2014,25/04/2016,,,,30/09/2020,,0,,982000176144129,,76,
255,UK107189602213,HOLSTEIN FRIESIAN,Female,02/07/2014,25/04/2016,,,,27/07/2020,,0,,0,,73,
36,UK107189102215,HOLSTEIN FRIESIAN,Female,09/07/2014,25/04/2016,,,,,,Spring,,982000176144202,,82,
40,UK107189202244,HOLSTEIN FRIESIAN,Female,10/09/2014,25/04/2016,,,,,,0,,982000176144212,,80,
266,UK107189602248,HOLSTEIN FRIESIAN,Female,14/09/2014,25/04/2016,,,,,,0,,982000176144086,,80,
290,UK107189702305,HOLSTEIN FRIESIAN,Female,15/11/2014,25/04/2016,,,,,,Autumn,,982000176144216,,78,
310,UK107189402323,HOLSTEIN FRIESIAN,Female,18/12/2014,25/04/2016,,,,,,Autumn,,982000176144303,,77,
382,UK107189702599,HOLSTEIN FRIESIAN,Female,22/05/2016,22/05/2016,,,,27/02/2019,,0,,0,,33,
523,UK107189102761,BRITISH FRIESIAN X,Female,09/02/2017,09/02/2017,,,,,,0,,982000176144300,,51,
60,UK107189202279,HOLSTEIN FRIESIAN,Female,06/07/2015,28/04/2017,,,,,,0,,982000176144049,,70,
28,UK107189502303,HOLSTEIN FRIESIAN,Female,10/11/2014,28/04/2017,,18/02/2021,Linden Foods,,,0,,982000176144307,,76,
304,UK107189202307,HOLSTEIN FRIESIAN,Female,16/11/2014,28/04/2017,,24/04/2020,Linden Foods,,,0,,982000176144134,,66,
223,UK107189202314,Swedish Red X,Female,09/12/2014,28/04/2017,,,,,,0,,982000176144059,,77,
306,UK107189502317,HOLSTEIN FRIESIAN,Female,14/12/2014,28/04/2017,,29/11/2019,SH2056 QUARRY COTTAGES,,,0,,0,,60,
307,UK107189602318,HOLSTEIN FRIESIAN,Female,14/12/2014,28/04/2017,,29/11/2019,SH2056 QUARRY COTTAGES,,,0,,0,,60,
308,UK107189702319,HOLSTEIN FRIESIAN,Female,14/12/2014,28/04/2017,,,,,,0,,982000176144074,,77,
309,UK107189102320,Swedish Red X,Female,16/12/2014,28/04/2017,,30/07/2020,Linden Foods,,,0,,982000176144079,,68,
313,UK107189202328,HOLSTEIN FRIESIAN,Female,31/12/2014,28/04/2017,,11/11/2020,Linden Foods,,,0,,0,,71,
314,UK107189602332,HOLSTEIN FRIESIAN,Female,07/01/2015,28/04/2017,,29/10/2020,Linden Foods,,,0,,982000176144071,,70,
31,UK107189502338,HOLSTEIN FRIESIAN,Female,19/01/2015,28/04/2017,,,,,,Autumn,,982000176144107,,76,
47,UK107189102355,HOLSTEIN FRIESIAN,Female,28/02/2015,28/04/2017,,17/04/2020,Linden Foods,,,0,,982000176144096,,62,
99,UK107189102362,HOLSTEIN FRIESIAN,Female,11/03/2015,28/04/2017,,,,,,Spring,,982000176072230,,74,
150,UK107189102369,HOLSTEIN FRIESIAN,Female,26/03/2015,28/04/2017,,18/02/2021,Linden Foods,,,0,,0,,71,
167,UK107189202384,HOLSTEIN FRIESIAN,Female,01/05/2015,28/04/2017,,,,,,0,,982000176144065,,72,
294,UK107189402393,HOLSTEIN FRIESIAN X,Female,16/05/2015,28/04/2017,,,,,,0,,982000176144149,,72,
214,UK107189502401,HOLSTEIN FRIESIAN,Female,01/07/2015,28/04/2017,,,,,,0,,982000176072190,,70,
81,UK107189502408,HOLSTEIN FRIESIAN,Female,13/08/2015,28/04/2017,,,,26/11/2020,,0,,982000176144268,,64,
111,UK107189202426,HOLSTEIN FRIESIAN,Female,02/09/2015,28/04/2017,,,,,,Autumn,,982000176144184,,68,
138,UK107189602430,HOLSTEIN FRIESIAN,Female,06/09/2015,28/04/2017,,,,,,Spring,,982000176144055,,68,
146,UK107189202433,HOLSTEIN FRIESIAN,Female,07/09/2015,28/04/2017,,,,,,0,,982000176072010,,68,
176,UK107189502436,HOLSTEIN FRIESIAN,Female,11/09/2015,28/04/2017,,,,,,0,,982000176144053,,68,
208,UK107189202440,SWEDISH RED n WHITE X,Female,17/09/2015,28/04/2017,,,,,,0,,982000176144043,,68,
215,UK107189302441,HOLSTEIN FRIESIAN,Female,17/09/2015,28/04/2017,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144145,,53,
7,UK107189502443,Swedish Red X,Female,20/09/2015,28/04/2017,,,,24/03/2021,,Autumn,,982000176144038,,67,
318,UK107189202454,HOLSTEIN FRIESIAN,Female,14/10/2015,28/04/2017,,11/11/2020,Linden Foods,,,0,,982000176144093,,61,
321,UK107189702459,HOLSTEIN FRIESIAN,Female,18/10/2015,28/04/2017,,,,,,0,,982000176144047,,67,
325,UK107189702466,Swedish Red X,Female,31/10/2015,28/04/2017,,18/02/2021,Linden Foods,,,Autumn,,982000176144136,,64,
329,UK107189402470,HOLSTEIN FRIESIAN,Female,05/11/2015,28/04/2017,,,,,,Spring,,982000176144054,,66,
330,UK107189502471,HOLSTEIN FRIESIAN,Female,05/11/2015,28/04/2017,,,,02/07/2019,,0,,0,,44,
333,UK107189202475,Swedish Red X,Female,07/11/2015,28/04/2017,,16/07/2020,Linden Foods,,,0,,982000176144119,,57,
338,UK107189302483,Swedish Red X,Female,11/11/2015,28/04/2017,,,,,,Autumn,,982000176144235,,66,
348,UK107189102495,HOLSTEIN FRIESIAN,Female,21/11/2015,28/04/2017,,30/07/2020,Linden Foods,,,0,,982000176144226,,57,
352,UK107189502506,Swedish Red X,Female,03/12/2015,28/04/2017,,,,,,0,,982000176144120,,65,
,UK581600100122,Aberdeen-Angus,Male,02/11/2013,28/04/2017,,,,12/12/2020,,0,,0,,86,
956,UK106710301441,HOLSTEIN FRIESIAN,Female,19/09/2009,15/06/2018,,,,02/08/2019,,0,,0,,120,
238,UK106710601829,HOLSTEIN FRIESIAN,Female,22/10/2012,15/06/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,0,,89,
992,UK106710101992,HOLSTEIN FRIESIAN,Female,22/12/2013,15/06/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144142,,74,
34,UK106710302134,HOLSTEIN FRIESIAN,Female,09/12/2014,15/06/2018,,,,,,Autumn,,0,,77,
8201,UK106710602200,HOLSTEIN FRIESIAN,Female,15/04/2015,15/06/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144214,,58,
203,UK106710102202,HOLSTEIN FRIESIAN,Female,17/04/2015,15/06/2018,,,,16/04/2021,,Autumn,,0,,73,
8324,UK106710402324,HOLSTEIN FRIESIAN,Female,08/02/2016,15/06/2018,,,,,,0,,982000176144056,,63,
8325,UK106710502325,HOLSTEIN FRIESIAN,Female,12/02/2016,15/06/2018,,,,24/03/2020,,0,,982000176144051,,50,
349,UK106710102349,HOLSTEIN FRIESIAN,Female,18/03/2016,15/06/2018,,,,,,Spring,,982000176144318,,61,
8352,UK106710402352,HOLSTEIN FRIESIAN,Female,23/03/2016,15/06/2018,,18/02/2021,Linden Foods,,,0,,982000176144090,,59,
355,UK106710702355,HOLSTEIN FRIESIAN,Female,27/03/2016,15/06/2018,,,,,,0,,982000176144132,,61,
358,UK106710302358,HOLSTEIN FRIESIAN,Female,04/04/2016,15/06/2018,,,,,,Autumn,,982000176144094,,61,
354,UK106710402359,HOLSTEIN FRIESIAN,Female,05/04/2016,15/06/2018,,,,31/03/2020,,0,,982000176144319,,48,
361,UK106710602361,HOLSTEIN FRIESIAN,Female,06/04/2016,15/06/2018,,,,,,Autumn,,982000175376950,,61,
362,UK106710702362,HOLSTEIN FRIESIAN,Female,07/04/2016,15/06/2018,,,,,,0,,982000176144229,,61,
991,UK106710701991,HOLSTEIN FRIESIAN,Female,21/12/2013,06/07/2018,,,,,,Autumn,,982000176144045,,89,
10,UK106710502010,HOLSTEIN FRIESIAN,Female,21/02/2014,06/07/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144072,,72,
44,UK106710402044,HOLSTEIN FRIESIAN,Female,12/04/2014,06/07/2018,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,0,,68,
65,UK106710402065,HOLSTEIN FRIESIAN,Female,25/05/2014,06/07/2018,,,,,,0,,982000176144127,,84,
22,UK106710202119,HOLSTEIN FRIESIAN,Female,26/10/2014,06/07/2018,,,,,,0,,0,,78,
8167,UK106710102167,HOLSTEIN FRIESIAN,Female,26/02/2015,06/07/2018,,06/12/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144208,,70,
8169,UK106710302169,HOLSTEIN FRIESIAN,Female,01/03/2015,06/07/2018,,,,12/03/2021,,Autumn,,982000176144294,,73,
74,UK106710102174,HOLSTEIN FRIESIAN,Female,06/03/2015,06/07/2018,,24/04/2020,Linden Foods,,,0,,0,,62,
8204,UK106710302204,HOLSTEIN FRIESIAN,Female,22/04/2015,06/07/2018,,,,27/07/2020,,0,,982000176144046,,64,
227,UK106710301805,HOLSTEIN FRIESIAN,Female,05/09/2012,12/07/2018,,16/07/2020,Linden Foods,,,0,,982000176144197,,95,
8304,UK106710201853,HOLSTEIN FRIESIAN,Female,22/01/2013,12/07/2018,,,,,,0,,982000176144104,,100,
869,UK106710401869,HOLSTEIN FRIESIAN,Female,07/03/2013,12/07/2018,,,,25/02/2020,,0,,982000176144140,,84,
903,UK106710301903,HOLSTEIN FRIESIAN,Female,30/06/2013,12/07/2018,,,,,,Spring,,982000176144168,,95,
911,UK106710401911,HOLSTEIN FRIESIAN,Female,13/07/2013,12/07/2018,,,,17/01/2021,,Autumn,,982000176144160,,91,
913,UK106710601913,HOLSTEIN FRIESIAN,Female,17/07/2013,12/07/2018,,,,,,Spring,,982000176071946,,94,
922,UK106710101922,HOLSTEIN FRIESIAN,Female,27/07/2013,12/07/2018,,,,,,0,,982000176144156,,94,
1943,UK106710101943,HOLSTEIN FRIESIAN,Female,16/09/2013,12/07/2018,,,,15/04/2020,,0,,0,,80,
962,UK106710601962,HOLSTEIN FRIESIAN,Female,12/10/2013,12/07/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144316,,77,
977,UK106710701977,HOLSTEIN FRIESIAN,Female,18/11/2013,12/07/2018,,,,,,Autumn,,982000176144161,,90,
978,UK106710101978,HOLSTEIN FRIESIAN,Female,25/11/2013,12/07/2018,,,,,,0,,982000176144131,,90,
987,UK106710301987,HOLSTEIN FRIESIAN,Female,09/12/2013,12/07/2018,,,,,,0,,982000176144205,,89,
990,UK106710601990,HOLSTEIN FRIESIAN,Female,20/12/2013,12/07/2018,,,,,,Spring,,982000176144154,,89,
82,UK106710502003,HOLSTEIN FRIESIAN,Female,21/01/2014,12/07/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144138,,73,
87,UK106710202007,HOLSTEIN FRIESIAN,Female,07/02/2014,12/07/2018,,,,05/11/2020,,0,,982000176144163,,82,
829,UK106710302029,HOLSTEIN FRIESIAN,Female,18/03/2014,12/07/2018,,,,,,Autumn,,982000176144206,,86,
845,UK106710502045,HOLSTEIN FRIESIAN,Female,15/04/2014,12/07/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,0,,71,
850,UK106710302050,HOLSTEIN FRIESIAN,Female,26/04/2014,12/07/2018,,16/07/2020,Linden Foods,,,0,,982000176144181,,75,
66,UK106710502066,HOLSTEIN FRIESIAN,Female,26/05/2014,12/07/2018,,16/07/2020,Linden Foods,,,0,,982000176144082,,74,
79,UK106710402079,HOLSTEIN FRIESIAN,Female,10/07/2014,12/07/2018,,,,,,0,,982000176144177,,82,
96,UK106710702096,HOLSTEIN FRIESIAN,Female,06/09/2014,12/07/2018,,11/11/2020,Linden Foods,,,0,,0,,75,
8107,UK106710402107,HOLSTEIN FRIESIAN,Female,04/10/2014,12/07/2018,,,,,,0,,982000176144288,,79,
8112,UK106710202112,HOLSTEIN FRIESIAN,Female,15/10/2014,12/07/2018,,,,05/01/2021,,Autumn,,982000176144189,,75,
838,UK106710702138,HOLSTEIN FRIESIAN,Female,27/12/2014,12/07/2018,,,,,,0,,982000176144070,,76,
86,UK106710402142,HOLSTEIN FRIESIAN,Female,06/01/2015,12/07/2018,,,,,,Autumn,,982000176144324,,76,
8143,UK106710502143,HOLSTEIN FRIESIAN,Female,08/01/2015,12/07/2018,,,,12/10/2020,,0,,982000176144295,,70,
854,UK106710202154,HOLSTEIN FRIESIAN,Female,23/01/2015,12/07/2018,,,,26/11/2020,,0,,982000176144209,,71,
61,UK106710102160,HOLSTEIN FRIESIAN,Female,14/02/2015,12/07/2018,,,,,,Autumn,,982000176144042,,75,
166,UK106710702166,HOLSTEIN FRIESIAN,Female,26/02/2015,12/07/2018,,11/11/2020,Linden Foods,,,0,,982000176144118,,69,
181,UK106710102181,HOLSTEIN FRIESIAN,Female,21/03/2015,12/07/2018,,,,,,0,,982000176144123,,74,
8195,UK106710102195,HOLSTEIN FRIESIAN,Female,08/04/2015,12/07/2018,,,,13/01/2020,,0,,0,,58,
217,UK106710202217,HOLSTEIN FRIESIAN,Female,25/05/2015,12/07/2018,,,,25/02/2020,,0,,982000176144151,,57,
220,UK106710502220,HOLSTEIN FRIESIAN,Female,01/06/2015,12/07/2018,,,,,,Autumn,,982000176144097,,71,
8225,UK106710302225,HOLSTEIN FRIESIAN,Female,09/06/2015,12/07/2018,,,,,,0,,982000176144128,,71,
8226,UK106710402226,HOLSTEIN FRIESIAN,Female,12/06/2015,12/07/2018,,25/06/2020,Linden Foods,,,0,,982000176144297,,61,
240,UK106710402240,HOLSTEIN FRIESIAN,Female,16/07/2015,12/07/2018,,,,,,Autumn,,982000176144314,,70,
246,UK106710302246,HOLSTEIN FRIESIAN,Female,01/08/2015,12/07/2018,,29/10/2020,Linden Foods,,,0,,982000176144302,,63,
248,UK106710502248,HOLSTEIN FRIESIAN,Female,08/08/2015,12/07/2018,,,,05/10/2020,,0,,982000176144037,,62,
8252,UK106710202252,HOLSTEIN FRIESIAN,Female,12/09/2015,12/07/2018,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,0,,51,
256,UK106710602256,HOLSTEIN FRIESIAN,Female,14/09/2015,12/07/2018,,,,,,0,,982000176144172,,68,
269,UK106710502269,HOLSTEIN FRIESIAN,Female,24/10/2015,12/07/2018,,,,,,Autumn,,982000176144144,,66,
8278,UK106710702278,HOLSTEIN FRIESIAN,Female,10/11/2015,12/07/2018,,,,,,Autumn,,982000176144191,,66,
8287,UK106710202287,HOLSTEIN FRIESIAN,Female,01/12/2015,12/07/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144135,,51,
300,UK106710102300,HOLSTEIN FRIESIAN,Female,27/12/2015,12/07/2018,,,,,,Autumn,,982000176144219,,64,
370,UK106710102370,HOLSTEIN FRIESIAN,Female,21/04/2016,12/07/2018,,,,,,0,,982000176144193,,60,
118,UK106710501611,HOLSTEIN FRIESIAN,Female,28/01/2011,13/07/2018,,,,07/09/2020,,0,,982000176144106,,117,
221,UK106710401799,HOLSTEIN FRIESIAN,Female,20/08/2012,13/07/2018,,,,,,0,,982000176144305,,105,
305,UK106710301854,HOLSTEIN FRIESIAN,Female,23/01/2013,13/07/2018,,,,,,0,,982000176144258,,100,
891,UK106710501891,HOLSTEIN FRIESIAN,Female,07/05/2013,13/07/2018,,,,,,Autumn,,982000176144057,,96,
897,UK106710401897,HOLSTEIN FRIESIAN,Female,16/06/2013,13/07/2018,,,,,,Spring,,982000176144336,,95,
910,UK106710301910,HOLSTEIN FRIESIAN,Female,10/07/2013,13/07/2018,,,,27/08/2020,,0,,982000176144176,,86,
1,UK106710202000,HOLSTEIN FRIESIAN,Female,17/01/2014,13/07/2018,,14/02/2020,SH2056 QUARRY COTTAGES,,,0,,982000176144231,,73,
849,UK106710202049,HOLSTEIN FRIESIAN,Female,25/04/2014,13/07/2018,,06/12/2019,SH2056 QUARRY COTTAGES,,,0,,0,,68,
69,UK106710102069,HOLSTEIN FRIESIAN,Female,07/06/2014,13/07/2018,,,,,,0,,982000176144182,,83,
90,UK106710102090,HOLSTEIN FRIESIAN,Female,24/08/2014,13/07/2018,,,,,,0,,982000176144164,,81,
95,UK106710602095,HOLSTEIN FRIESIAN,Female,04/09/2014,13/07/2018,,11/11/2020,Linden Foods,,,0,,982000176144109,,75,
8100,UK106710402100,HOLSTEIN FRIESIAN,Female,17/09/2014,13/07/2018,,11/11/2020,Linden Foods,,,0,,0,,74,
114,UK106710402114,HOLSTEIN FRIESIAN,Female,18/10/2014,13/07/2018,,25/06/2020,Linden Foods,,,0,,982000176144088,,69,
3,UK106710102118,HOLSTEIN FRIESIAN,Female,27/10/2014,13/07/2018,,29/11/2019,SH2056 QUARRY COTTAGES,,,0,,0,,61,
8122,UK106710402121,HOLSTEIN FRIESIAN,Female,30/10/2014,13/07/2018,,,,27/08/2020,,0,,0,,70,
125,UK106710102125,HOLSTEIN FRIESIAN,Female,06/11/2014,13/07/2018,,,,,,0,,982000176144060,,78,
127,UK106710302127,HOLSTEIN FRIESIAN,Female,11/11/2014,13/07/2018,,,,19/11/2020,,0,,982000176144041,,73,
831,UK106710702131,HOLSTEIN FRIESIAN,Female,29/11/2014,13/07/2018,,,,,,Spring,,982000176144114,,77,
139,UK106710102139,HOLSTEIN FRIESIAN,Female,29/12/2014,13/07/2018,,,,,,Autumn,,982000176144218,,76,
8141,UK106710302141,HOLSTEIN FRIESIAN,Female,04/01/2015,13/07/2018,,,,,,Spring,,982000176144227,,76,
8144,UK106710602144,HOLSTEIN FRIESIAN,Female,09/01/2015,13/07/2018,,,,,,Autumn,,982000176072130,,76,
14,UK106710202147,HOLSTEIN FRIESIAN,Female,13/01/2015,13/07/2018,,,,,,Spring,,982000176144264,,76,
151,UK106710602151,HOLSTEIN FRIESIAN,Female,16/01/2015,13/07/2018,,18/02/2021,Linden Foods,,,Autumn,,982000176144228,,74,
8170,UK106710402170,HOLSTEIN FRIESIAN,Female,02/03/2015,13/07/2018,,29/12/2019,SH2056 QUARRY COTTAGES,,,0,,0,,58,
171,UK106710502171,HOLSTEIN FRIESIAN,Female,04/03/2015,13/07/2018,,29/10/2020,Linden Foods,,,0,,982000176144306,,68,
173,UK106710702173,HOLSTEIN FRIESIAN,Female,05/03/2015,13/07/2018,,11/11/2020,Linden Foods,,,0,,0,,69,
8180,UK106710702180,HOLSTEIN FRIESIAN,Female,19/03/2015,13/07/2018,,,,,,0,,982000176144068,,74,
8229,UK106710702229,HOLSTEIN FRIESIAN,Female,22/06/2015,13/07/2018,,,,,,0,,982000176144039,,70,
