Freeze Brand,Ear Tag,Breed,Sex,Date Of Birth,Date Of Acquisition,Age when acquired,Purchased From,Date Of Disposal,Disposed Of To,Date Of Death,Manner and Place of Destruction,Location,Group,Fqas,EID,Name,Age(mths),Age(days),
2717,UK106710502717,HOLSTEIN FRIESIAN,Female,21/03/2018,21/03/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126211,,27,810,
2719,UK106710702719,HOLSTEIN FRIESIAN,Female,25/03/2018,25/03/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126212,,26,806,
2720,UK106710102720,HOLSTEIN FRIESIAN,Female,25/03/2018,25/03/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126213,,26,806,
2738,UK106710502738,HOLSTEIN FRIESIAN,Female,12/04/2018,12/04/2018,0 yrs  0 mths,,14/05/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126215,,25,763,
,UK106710402737,HOLSTEIN FRIESIAN,Female,12/04/2018,12/04/2018,0 yrs  0 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,0,,26,788,
2743,UK106710302743,HOLSTEIN FRIESIAN,Female,19/04/2018,19/04/2018,0 yrs  0 mths,,14/05/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126216,,25,756,
2746,UK106710602746,HOLSTEIN FRIESIAN,Female,22/04/2018,22/04/2018,0 yrs  0 mths,,14/05/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126217,,25,753,
2754,UK106710702754,HOLSTEIN FRIESIAN,Female,05/05/2018,05/05/2018,0 yrs  0 mths,,14/05/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126218,,24,740,
2757,UK106710302757,HOLSTEIN FRIESIAN,Female,13/05/2018,13/05/2018,0 yrs  0 mths,,14/05/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126219,,24,732,
2758,UK106710402758,HOLSTEIN FRIESIAN,Female,14/05/2018,14/05/2018,0 yrs  0 mths,,14/05/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126220,,24,731,
2759,UK106710502759,HOLSTEIN FRIESIAN,Female,15/05/2018,15/05/2018,0 yrs  0 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126221,,21,638,
,UK106710102566,Holstein,Female,24/04/2017,28/05/2018,1 yrs  1 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126172,,34,1024,
,UK106710402639,HOLSTEIN FRIESIAN,Female,02/10/2017,28/05/2018,0 yrs  7 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126190,,28,863,
,UK106710102678,HOLSTEIN FRIESIAN,Female,04/01/2018,28/05/2018,0 yrs  4 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,0,,29,886,
2659,UK107189402659,Swedish Red X,Female,12/10/2016,01/06/2018,1 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126222,,40,1218,
,UK107189602675,Swedish Red X,Female,24/10/2016,01/06/2018,1 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126224,,40,1206,
,UK107189702683,Swedish Red X,Female,03/11/2016,01/06/2018,1 yrs  7 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126225,,39,1196,
,UK107189702774,Swedish Red X,Female,02/03/2017,01/06/2018,1 yrs  3 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126231,,35,1077,
2783,UK107189202783,BRITISH FRIESIAN X,Female,15/03/2017,01/06/2018,1 yrs  3 mths,,04/02/2021,31/377/0042 Nafferton Farm,,,,0,,982000176126233,,47,1422,
2833,UK107189302833,HOLSTEIN FRIESIAN,Female,29/08/2017,20/07/2018,0 yrs  11 mths,,27/05/2020,linden foods,,,,0,,982000176126248,,33,1002,
,UK107189102852,BRITISH FRIESIAN X,Female,27/09/2017,20/07/2018,0 yrs  10 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126256,,28,868,
,UK107189202860,Swedish Red X,Female,10/10/2017,20/07/2018,0 yrs  9 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126261,,28,855,
,UK107189302861,HOLSTEIN FRIESIAN,Female,11/10/2017,20/07/2018,0 yrs  9 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126262,,28,854,
,UK107189502863,HOLSTEIN FRIESIAN X,Female,11/10/2017,20/07/2018,0 yrs  9 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126263,,28,854,
,UK107189702865,HOLSTEIN FRIESIAN,Female,15/10/2017,20/07/2018,0 yrs  9 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126264,,28,850,
,UK107189202867,HOLSTEIN FRIESIAN X,Female,18/10/2017,20/07/2018,0 yrs  9 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126265,,28,847,
2869,UK107189402869,Swedish Red X,Female,23/10/2017,20/07/2018,0 yrs  9 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126266,,31,959,
2870,UK107189502870,Swedish Red X,Female,23/10/2017,20/07/2018,0 yrs  9 mths,,29/11/2019,Market,,,,0,,982000176126267,,25,767,
2871,UK107189602871,Swedish Red X,Female,23/10/2017,20/07/2018,0 yrs  9 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126268,,31,959,
2872,UK107189702872,HOLSTEIN FRIESIAN,Female,24/10/2017,20/07/2018,0 yrs  9 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126269,,31,958,
,UK107189102873,HOLSTEIN FRIESIAN X,Female,28/10/2017,20/07/2018,0 yrs  9 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126270,,27,837,
,UK107189202874,Swedish Red X,Female,28/10/2017,20/07/2018,0 yrs  9 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126271,,27,837,
2875,UK107189302875,Swedish Red X,Female,28/10/2017,20/07/2018,0 yrs  9 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126272,,31,954,
2876,UK107189402876,Swedish Red X,Female,28/10/2017,20/07/2018,0 yrs  9 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126273,,31,954,
2878,UK107189602878,Swedish Red X,Female,30/10/2017,20/07/2018,0 yrs  9 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126274,,31,952,
,UK107189402883,HOLSTEIN FRIESIAN,Female,07/11/2017,20/07/2018,0 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126275,,27,827,
2884,UK107189502884,HOLSTEIN FRIESIAN,Female,07/11/2017,20/07/2018,0 yrs  8 mths,,14/05/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126276,,30,919,
2886,UK107189702886,BRITISH FRIESIAN X,Female,07/11/2017,20/07/2018,0 yrs  8 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126277,,31,944,
,UK107189202888,HOLSTEIN FRIESIAN,Female,08/11/2017,20/07/2018,0 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126278,,27,826,
,UK107189302889,HOLSTEIN FRIESIAN X,Female,12/11/2017,20/07/2018,0 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126279,,27,822,
,UK107189602892,HOLSTEIN FRIESIAN,Female,17/11/2017,20/07/2018,0 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126280,,27,817,
,UK107189102894,HOLSTEIN FRIESIAN,Female,21/11/2017,20/07/2018,0 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126281,,27,813,
,UK107189402897,HOLSTEIN FRIESIAN,Female,22/11/2017,20/07/2018,0 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126283,,27,812,
2900,UK107189702900,HOLSTEIN FRIESIAN,Female,22/11/2017,20/07/2018,0 yrs  8 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126285,,30,929,
,UK107189102901,HOLSTEIN FRIESIAN,Female,23/11/2017,20/07/2018,0 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126286,,27,811,
,UK107189202902,HOLSTEIN FRIESIAN,Female,24/11/2017,20/07/2018,0 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126287,,27,810,
2911,UK107189402911,HOLSTEIN FRIESIAN,Female,05/12/2017,20/07/2018,0 yrs  7 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126289,,30,916,
2918,UK107189402918,HOLSTEIN FRIESIAN,Female,23/12/2017,20/07/2018,0 yrs  7 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126290,,29,898,
2920,UK107189602920,HOLSTEIN FRIESIAN,Female,28/12/2017,20/07/2018,0 yrs  7 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126291,,29,893,
2924,UK107189302924,HOLSTEIN FRIESIAN,Female,12/01/2018,20/07/2018,0 yrs  6 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126292,,29,878,
2925,UK107189402925,HOLSTEIN FRIESIAN,Female,14/01/2018,20/07/2018,0 yrs  6 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126293,,29,876,
2926,UK107189502926,HOLSTEIN FRIESIAN,Female,14/01/2018,20/07/2018,0 yrs  6 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126294,,29,876,
2927,UK107189602927,Swedish Red X,Female,14/01/2018,20/07/2018,0 yrs  6 mths,,27/05/2020,linden foods,,,,0,,982000176126295,,28,864,
2929,UK107189102929,HOLSTEIN FRIESIAN,Female,18/01/2018,20/07/2018,0 yrs  6 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126296,,29,872,
2933,UK107189502933,HOLSTEIN FRIESIAN,Female,30/01/2018,20/07/2018,0 yrs  6 mths,,14/05/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126297,,27,835,
2934,UK107189602934,HOLSTEIN FRIESIAN,Female,30/01/2018,20/07/2018,0 yrs  6 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126298,,28,860,
2935,UK107189702935,HOLSTEIN FRIESIAN,Female,30/01/2018,20/07/2018,0 yrs  6 mths,,14/05/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126299,,27,835,
2936,UK107189102936,NORWEGIAN RED X,Female,30/01/2018,20/07/2018,0 yrs  6 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126300,,28,860,
2937,UK107189202937,HOLSTEIN FRIESIAN,Female,01/02/2018,20/07/2018,0 yrs  5 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126301,,28,858,
2938,UK107189302938,NORWEGIAN RED X,Female,01/02/2018,20/07/2018,0 yrs  5 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126302,,28,858,
2940,UK107189502940,HOLSTEIN FRIESIAN,Female,01/02/2018,20/07/2018,0 yrs  5 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126303,,28,858,
2946,UK107189402946,HOLSTEIN FRIESIAN,Female,09/02/2018,20/07/2018,0 yrs  5 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126304,,28,850,
2948,UK107189602948,HOLSTEIN FRIESIAN X,Female,09/02/2018,20/07/2018,0 yrs  5 mths,,27/05/2020,linden foods,,,,0,,982000176126305,,27,838,
,UK107189302910,HOLSTEIN FRIESIAN,Female,04/12/2017,20/07/2018,0 yrs  7 mths,,23/02/2020,31/377/0042 Nafferton Farm,,,,0,,0,,27,811,
,UK107189202895,HOLSTEIN FRIESIAN,Female,21/11/2017,20/07/2018,0 yrs  8 mths,,23/02/2020,31/377/0042 Nafferton Farm,,,,0,,0,,27,824,
,UK107189502898,HOLSTEIN FRIESIAN,Female,22/11/2017,20/07/2018,0 yrs  8 mths,,23/02/2020,31/377/0042 Nafferton Farm,,,,0,,0,,27,823,
2951,UK107189202951,HOLSTEIN FRIESIAN,Female,11/02/2018,14/08/2018,0 yrs  6 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126306,,28,848,
2952,UK107189302952,HOLSTEIN FRIESIAN,Female,11/02/2018,14/08/2018,0 yrs  6 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126307,,28,848,
,UK107189602962,HOLSTEIN FRIESIAN,Female,26/02/2018,14/08/2018,0 yrs  6 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126308,,23,716,
2963,UK107189702963,HOLSTEIN FRIESIAN,Female,26/02/2018,14/08/2018,0 yrs  6 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126309,,27,833,
2977,UK107189702977,HOLSTEIN FRIESIAN,Female,07/03/2018,14/08/2018,0 yrs  5 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126310,,27,824,
2979,UK107189202979,HOLSTEIN FRIESIAN,Female,09/03/2018,14/08/2018,0 yrs  5 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126311,,27,822,
2980,UK107189302980,HOLSTEIN FRIESIAN,Female,09/03/2018,14/08/2018,0 yrs  5 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126312,,27,822,
2988,UK107189402988,HOLSTEIN FRIESIAN,Female,18/03/2018,14/08/2018,0 yrs  5 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126313,,27,813,
3000,UK107189203000,HOLSTEIN FRIESIAN,Female,29/03/2018,14/08/2018,0 yrs  5 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126314,,26,802,
3001,UK107189303001,HOLSTEIN FRIESIAN X,Female,30/03/2018,14/08/2018,0 yrs  5 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126315,,26,801,
3009,UK107189403009,HOLSTEIN FRIESIAN,Female,25/04/2018,14/08/2018,0 yrs  4 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,0,,25,775,
3010,UK107189503010,HOLSTEIN FRIESIAN,Female,27/04/2018,14/08/2018,0 yrs  4 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126317,,25,773,
3011,UK107189603011,HOLSTEIN FRIESIAN,Female,29/04/2018,14/08/2018,0 yrs  4 mths,,14/05/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126318,,24,746,
3013,UK107189103013,HOLSTEIN FRIESIAN,Female,13/05/2018,14/08/2018,0 yrs  3 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126319,,25,757,
3019,UK107189703019,HOLSTEIN FRIESIAN,Female,30/05/2018,20/09/2018,0 yrs  4 mths,,14/05/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126320,,23,715,
3020,UK107189103020,HOLSTEIN FRIESIAN,Female,30/05/2018,20/09/2018,0 yrs  4 mths,,,,21/02/2020,Warrens,,0,,982000176126321,,21,632,
3021,UK107189203021,HOLSTEIN FRIESIAN,Female,02/06/2018,20/09/2018,0 yrs  3 mths,,14/05/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126322,,23,712,
3026,UK107189703026,Holstein,Female,26/06/2018,20/09/2018,0 yrs  3 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126323,,23,713,
3027,UK107189103027,Holstein,Female,26/06/2018,20/09/2018,0 yrs  3 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126324,,23,713,
3029,UK107189303029,Holstein,Female,26/06/2018,20/09/2018,0 yrs  3 mths,,27/05/2020,linden foods,,,,0,,982000176126325,,23,701,
3035,UK107189203035,Holstein,Female,27/06/2018,20/09/2018,0 yrs  3 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126326,,23,712,
3038,UK107189503038,Holstein,Female,27/06/2018,20/09/2018,0 yrs  3 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126327,,19,595,
3047,UK107189703047,HOLSTEIN FRIESIAN,Female,10/07/2018,20/09/2018,0 yrs  2 mths,,,,08/02/2019,Warrens,,0,,982000176126328,,7,213,
,UK106710202518,HOLSTEIN FRIESIAN,Female,04/02/2017,01/10/2018,1 yrs  8 mths,,11/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126163,,36,1102,
2536,UK106710602536,HOLSTEIN FRIESIAN,Female,05/03/2017,01/10/2018,1 yrs  7 mths,,29/11/2019,Market,,,,0,,982000176126165,,33,999,
72,UK106710402541,HOLSTEIN FRIESIAN,Female,09/03/2017,01/10/2018,1 yrs  7 mths,,,31/377/0042 Nafferton Farm,19/11/2020,Warrens Deadstock,,0,,0,,45,1351,
,UK106710502542,HOLSTEIN FRIESIAN,Female,09/03/2017,01/10/2018,1 yrs  7 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126168,,35,1070,
,UK106710302554,HOLSTEIN FRIESIAN,Female,26/03/2017,01/10/2018,1 yrs  7 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126169,,35,1053,
,UK106710402562,Holstein,Female,16/04/2017,01/10/2018,1 yrs  6 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126170,,34,1032,
,UK106710502563,HOLSTEIN FRIESIAN,Female,20/04/2017,01/10/2018,1 yrs  6 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126171,,34,1028,
,UK106710202567,Holstein,Female,02/05/2017,01/10/2018,1 yrs  5 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126173,,33,1016,
,UK106710302568,Holstein,Female,05/05/2017,01/10/2018,1 yrs  5 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126174,,33,1013,
,UK106710402569,Holstein,Female,07/05/2017,01/10/2018,1 yrs  5 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126175,,33,1011,
,UK106710602571,Holstein,Female,12/05/2017,01/10/2018,1 yrs  5 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126176,,33,1006,
2580,UK106710102580,Holstein,Female,04/06/2017,01/10/2018,1 yrs  4 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126177,,36,1100,
,UK106710602585,HOLSTEIN FRIESIAN,Female,16/06/2017,01/10/2018,1 yrs  4 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126178,,32,971,
,UK106710102587,HOLSTEIN FRIESIAN,Female,16/06/2017,01/10/2018,1 yrs  4 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126179,,32,971,
,UK106710302589,HOLSTEIN FRIESIAN,Female,22/06/2017,01/10/2018,1 yrs  4 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126180,,32,965,
2594,UK106710102594,HOLSTEIN FRIESIAN,Female,25/06/2017,01/10/2018,1 yrs  4 mths,,29/11/2019,Market,,,,0,,982000176126181,,29,887,
2602,UK106710202602,HOLSTEIN FRIESIAN,Female,08/07/2017,01/10/2018,1 yrs  3 mths,,27/05/2020,linden foods,,,,0,,982000176126182,,35,1054,
2603,UK106710302603,HOLSTEIN FRIESIAN,Female,10/07/2017,01/10/2018,1 yrs  3 mths,,04/02/2021,31/377/0042 Nafferton Farm,,,,0,,982000176126183,,43,1305,
,UK106710502605,HOLSTEIN FRIESIAN,Female,13/07/2017,01/10/2018,1 yrs  3 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126184,,31,944,
,UK106710602606,HOLSTEIN FRIESIAN,Female,14/07/2017,01/10/2018,1 yrs  3 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126185,,31,943,
2611,UK106710402611,HOLSTEIN FRIESIAN,Female,24/07/2017,01/10/2018,1 yrs  3 mths,,,,,,,0,,982000176126186,,45,1366,
,UK106710102615,HOLSTEIN FRIESIAN,Female,28/07/2017,01/10/2018,1 yrs  3 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126187,,30,929,
,UK107189702760,BRITISH FRIESIAN X,Female,06/02/2017,01/10/2018,1 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126228,,36,1101,
,UK107189602766,BRITISH FRIESIAN X,Female,12/02/2017,01/10/2018,1 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126229,,36,1095,
,UK107189402771,HOLSTEIN FRIESIAN X,Female,20/02/2017,01/10/2018,1 yrs  8 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126230,,36,1087,
2800,UK107189502800,BRITISH FRIESIAN X,Female,29/04/2017,01/10/2018,1 yrs  6 mths,,29/11/2019,Market,,,,0,,982000176126235,,31,944,
,UK107189702809,BRITISH FRIESIAN X,Female,23/05/2017,01/10/2018,1 yrs  5 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126237,,33,995,
,UK107189202811,HOLSTEIN FRIESIAN,Female,24/05/2017,01/10/2018,1 yrs  5 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126238,,33,994,
,UK107189302812,HOLSTEIN FRIESIAN X,Female,01/06/2017,01/10/2018,1 yrs  4 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126239,,32,986,
,UK107189602815,HOLSTEIN FRIESIAN,Female,18/06/2017,01/10/2018,1 yrs  4 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126240,,32,969,
,UK107189702816,HOLSTEIN FRIESIAN,Female,18/06/2017,01/10/2018,1 yrs  4 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126241,,32,969,
2817,UK107189102817,HOLSTEIN FRIESIAN,Female,22/07/2017,01/10/2018,1 yrs  3 mths,,29/11/2019,Market,,,,0,,982000176126242,,28,860,
,UK107189202818,HOLSTEIN FRIESIAN,Female,22/07/2017,01/10/2018,1 yrs  3 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126243,,31,935,
,UK107189402820,HOLSTEIN FRIESIAN,Female,23/07/2017,01/10/2018,1 yrs  3 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126244,,31,934,
,UK107189602822,BRITISH FRIESIAN X,Female,29/07/2017,01/10/2018,1 yrs  3 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126245,,30,928,
,UK107189102824,HOLSTEIN FRIESIAN X,Female,05/08/2017,01/10/2018,1 yrs  2 mths,,12/02/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126246,,30,921,
2829,UK107189602829,BRITISH FRIESIAN X,Female,14/08/2017,01/10/2018,1 yrs  2 mths,,08/06/2020,31/377/0042 Nafferton Farm,,,,0,,982000176126247,,34,1029,
,UK106710302540,HOLSTEIN FRIESIAN,Female,09/03/2017,01/10/2018,1 yrs  7 mths,,23/02/2020,31/377/0042 Nafferton Farm,,,,0,,0,,36,1081,
,UK106710502521,HOLSTEIN FRIESIAN,Female,06/02/2017,01/10/2018,1 yrs  8 mths,,23/02/2020,31/377/0042 Nafferton Farm,,,,0,,0,,37,1112,
