InternalID,Freeze Brand,Ear Tag,Colour,Breed,Sex,Date Of Birth,Dam's Ear Tag,Date Of Acquisition,Age when acquired,Purchased From,Date Of Disposal,Disposed Of To,Date Of Death,Manner and Place of Destruction,Record 1st Created,Record Edited?,Reason For Change,ReasonForCull,Sire,Location,Age(mths),
209018436,210,UK107189302035,N/A,HOLSTEIN FRIESIAN,Female,29/06/2013,UK107189601436,28/04/2015,1 yrs  10 mths,,,,,,08/08/2019,No,,,,,95,
209018438,252,UK107189202048,N/A,HOLSTEIN FRIESIAN,Female,23/07/2013,UK581370702083,28/04/2015,1 yrs  9 mths,,,,20/10/2020,Warrens Deadstock,08/08/2019,No,,Cow Down,,,88,
209018440,267,UK107189402057,N/A,Swedish Red X,Female,22/08/2013,UK107189201509,28/04/2015,1 yrs  8 mths,,,,19/11/2020,Warrens Deadstock,08/08/2019,No,,Lost Pregnancy,,,88,
209018442,278,UK107189702060,N/A,HOLSTEIN FRIESIAN,Female,24/08/2013,UK581370202078,28/04/2015,1 yrs  8 mths,,,,,,08/08/2019,No,,,,,93,
209018443,289,UK107189602066,N/A,HOLSTEIN FRIESIAN,Female,30/08/2013,UK107189701584,28/04/2015,1 yrs  8 mths,,11/11/2020,Linden Foods,,,08/08/2019,No,,,,,87,
209018444,471,UK107189202076,N/A,HOLSTEIN FRIESIAN,Female,03/10/2013,UK107189301594,28/04/2015,1 yrs  6 mths,,,,,,08/08/2019,No,,,,,91,
209018447,135,UK107189402127,N/A,HOLSTEIN FRIESIAN,Female,16/12/2013,UK107189401210,28/04/2015,1 yrs  4 mths,,,,,,08/08/2019,No,,,,,89,
209018448,175,UK107189102131,N/A,HOLSTEIN FRIESIAN,Female,16/12/2013,UK107189301510,28/04/2015,1 yrs  4 mths,,,,21/09/2020,Warrens Deadstock,08/08/2019,No,,,,,82,
209018496,322,UK107189102460,N/A,HOLSTEIN FRIESIAN X,Female,22/10/2015,UK107189101760,22/10/2015,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,66,
209018506,340,UK107189602486,N/A,HOLSTEIN FRIESIAN,Female,15/11/2015,UK107189701325,15/11/2015,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,66,
209018507,342,UK107189102488,N/A,Swedish Red X,Female,15/11/2015,UK107189202027,15/11/2015,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,66,
209018512,353,UK107189702508,N/A,Swedish Red X,Female,07/12/2015,UK107189702032,07/12/2015,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,65,
209018514,31,UK107189302532,N/A,HOLSTEIN FRIESIAN,Female,08/01/2016,UK107189501792,08/01/2016,0 yrs  0 mths,,24/04/2020,Linden Foods,,,08/08/2019,No,,,,,52,
209018516,55,UK107189702536,N/A,HOLSTEIN FRIESIAN,Female,18/01/2016,UK523395701542,18/01/2016,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,64,
209018517,393,UK107189202538,N/A,HOLSTEIN FRIESIAN,Female,22/01/2016,UK107189501540,22/01/2016,0 yrs  0 mths,,,,,,08/08/2019,No,na,,,,63,
209018446,64,UK107189702123,N/A,HOLSTEIN FRIESIAN,Female,09/12/2013,UK107189201481,25/04/2016,2 yrs  4 mths,,,,02/03/2021,Warrens Deadstock,08/08/2019,No,,,,,88,
209018453,140,UK107189602178,N/A,HOLSTEIN FRIESIAN,Female,07/04/2014,UK107189201558,25/04/2016,2 yrs  0 mths,,,,,,08/08/2019,No,,,,,85,
209018460,251,UK107189502212,N/A,HOLSTEIN FRIESIAN,Female,30/06/2014,UK107189700842,25/04/2016,1 yrs  10 mths,,,,30/09/2020,Warrens Deadstock,08/08/2019,No,,,,,76,
209018461,255,UK107189602213,N/A,HOLSTEIN FRIESIAN,Female,02/07/2014,UK107189200641,25/04/2016,1 yrs  9 mths,,,,27/07/2020,Warrens,08/08/2019,No,,Lameness,,,73,
209018462,36,UK107189102215,N/A,HOLSTEIN FRIESIAN,Female,09/07/2014,UK107189601289,25/04/2016,1 yrs  9 mths,,,,,,08/08/2019,No,,,,,82,
209018464,40,UK107189202244,N/A,HOLSTEIN FRIESIAN,Female,10/09/2014,UK107189601513,25/04/2016,1 yrs  7 mths,,,,,,08/08/2019,No,,,,,80,
209018465,266,UK107189602248,N/A,HOLSTEIN FRIESIAN,Female,14/09/2014,UK107189201236,25/04/2016,1 yrs  7 mths,,,,,,08/08/2019,No,,,,,80,
209018469,290,UK107189702305,N/A,HOLSTEIN FRIESIAN,Female,15/11/2014,UK107189201586,25/04/2016,1 yrs  5 mths,,,,,,08/08/2019,No,,,,,78,
209018476,310,UK107189402323,N/A,HOLSTEIN FRIESIAN,Female,18/12/2014,UK107189101585,25/04/2016,1 yrs  4 mths,,,,,,08/08/2019,No,,,,,77,
209018562,523,UK107189102761,N/A,BRITISH FRIESIAN X,Female,09/02/2017,UK107189302035,09/02/2017,0 yrs  0 mths,,,,,,08/08/2019,No,,,,,51,
209018466,60,UK107189202279,N/A,HOLSTEIN FRIESIAN,Female,06/07/2015,UK107189400972,28/04/2017,1 yrs  9 mths,,,,,,08/08/2019,No,,,,,70,
209018468,28,UK107189502303,N/A,HOLSTEIN FRIESIAN,Female,10/11/2014,UK107189201089,28/04/2017,2 yrs  5 mths,,18/02/2021,Linden Foods,,,08/08/2019,No,,,,,76,
209018470,304,UK107189202307,N/A,HOLSTEIN FRIESIAN,Female,16/11/2014,UK107189601604,28/04/2017,2 yrs  5 mths,,24/04/2020,Linden Foods,,,08/08/2019,No,,,,,66,
209018471,223,UK107189202314,N/A,Swedish Red X,Female,09/12/2014,UK107189501925,28/04/2017,2 yrs  4 mths,,,,,,08/08/2019,No,,,,,77,
209018474,308,UK107189702319,N/A,HOLSTEIN FRIESIAN,Female,14/12/2014,UK107189101732,28/04/2017,2 yrs  4 mths,,,,,,08/08/2019,No,,,,,77,
209018475,309,UK107189102320,N/A,Swedish Red X,Female,16/12/2014,UK107189101921,28/04/2017,2 yrs  4 mths,,30/07/2020,Linden Foods,,,08/08/2019,No,,,,,68,
209018477,313,UK107189202328,N/A,HOLSTEIN FRIESIAN,Female,31/12/2014,UK523395701542,28/04/2017,2 yrs  4 mths,,11/11/2020,Linden Foods,,,08/08/2019,No,,,,,71,
209018478,314,UK107189602332,N/A,HOLSTEIN FRIESIAN,Female,07/01/2015,UK107189301762,28/04/2017,2 yrs  3 mths,,29/10/2020,Linden Foods,,,08/08/2019,No,,,,,70,
209018479,31,UK107189502338,N/A,HOLSTEIN FRIESIAN,Female,19/01/2015,UK107189201502,28/04/2017,2 yrs  3 mths,,,,,,08/08/2019,No,extra digit,,,,76,
209018481,99,UK107189102362,N/A,HOLSTEIN FRIESIAN,Female,11/03/2015,UK107189201733,28/04/2017,2 yrs  1 mths,,,,,,08/08/2019,No,,,,,74,
209018482,150,UK107189102369,N/A,HOLSTEIN FRIESIAN,Female,26/03/2015,UK107189701402,28/04/2017,2 yrs  1 mths,,18/02/2021,Linden Foods,,,08/08/2019,No,,,,,71,
209018483,167,UK107189202384,N/A,HOLSTEIN FRIESIAN,Female,01/05/2015,UK107189301244,28/04/2017,1 yrs  11 mths,,,,,,08/08/2019,No,,,,,72,
209018484,294,UK107189402393,N/A,HOLSTEIN FRIESIAN X,Female,16/05/2015,UK107189201558,28/04/2017,1 yrs  11 mths,,,,,,08/08/2019,No,,,,,72,
209018485,214,UK107189502401,N/A,HOLSTEIN FRIESIAN,Female,01/07/2015,UK107189701486,28/04/2017,1 yrs  9 mths,,,,,,08/08/2019,No,,,,,70,
209018486,81,UK107189502408,N/A,HOLSTEIN FRIESIAN,Female,13/08/2015,UK107189101711,28/04/2017,1 yrs  8 mths,,,,26/11/2020,Warrens Deadstock,08/08/2019,No,,Injury,,,64,
209018487,111,UK107189202426,N/A,HOLSTEIN FRIESIAN,Female,02/09/2015,UK107189401840,28/04/2017,1 yrs  7 mths,,,,,,08/08/2019,No,,,,,68,
209018488,138,UK107189602430,N/A,HOLSTEIN FRIESIAN,Female,06/09/2015,UK107189301804,28/04/2017,1 yrs  7 mths,,,,,,08/08/2019,No,,,,,68,
209018489,146,UK107189202433,N/A,HOLSTEIN FRIESIAN,Female,07/09/2015,UK107189401763,28/04/2017,1 yrs  7 mths,,,,,,08/08/2019,No,,,,,68,
209018490,176,UK107189502436,N/A,HOLSTEIN FRIESIAN,Female,11/09/2015,UK581370202078,28/04/2017,1 yrs  7 mths,,,,,,08/08/2019,No,,,,,68,
209018491,208,UK107189202440,N/A,SWEDISH RED n WHITE X,Female,17/09/2015,UK107189501988,28/04/2017,1 yrs  7 mths,,,,,,08/08/2019,No,,,,,68,
209018493,7,UK107189502443,N/A,Swedish Red X,Female,20/09/2015,UK107189301972,28/04/2017,1 yrs  7 mths,,,,24/03/2021,Warrens,08/08/2019,No,,,,,67,
209018494,318,UK107189202454,N/A,HOLSTEIN FRIESIAN,Female,14/10/2015,UK107189301573,28/04/2017,1 yrs  6 mths,,11/11/2020,Linden Foods,,,08/08/2019,No,,,,,61,
209018495,321,UK107189702459,N/A,HOLSTEIN FRIESIAN,Female,18/10/2015,UK107189301755,28/04/2017,1 yrs  6 mths,,,,,,08/08/2019,No,,,,,67,
209018498,325,UK107189702466,N/A,Swedish Red X,Female,31/10/2015,UK107189602003,28/04/2017,1 yrs  6 mths,,18/02/2021,Linden Foods,,,08/08/2019,No,,,,,64,
209018501,329,UK107189402470,N/A,HOLSTEIN FRIESIAN,Female,05/11/2015,UK107189301503,28/04/2017,1 yrs  5 mths,,,,,,08/08/2019,No,,,,,66,
209018503,333,UK107189202475,N/A,Swedish Red X,Female,07/11/2015,UK107189302000,28/04/2017,1 yrs  5 mths,,16/07/2020,Linden Foods,,,08/08/2019,No,,,,,57,
209018505,338,UK107189302483,N/A,Swedish Red X,Female,11/11/2015,UK107189402029,28/04/2017,1 yrs  5 mths,,,,,,08/08/2019,No,,,,,66,
209018509,348,UK107189102495,N/A,HOLSTEIN FRIESIAN,Female,21/11/2015,UK107189401749,28/04/2017,1 yrs  5 mths,,30/07/2020,Linden Foods,,,08/08/2019,No,,,,,57,
209018511,352,UK107189502506,N/A,Swedish Red X,Female,03/12/2015,UK107189202055,28/04/2017,1 yrs  4 mths,,,,,,08/08/2019,No,,,,,65,
209018613,,UK581600100122,N/A,Aberdeen-Angus,Male,02/11/2013,UK581600700030,28/04/2017,3 yrs  5 mths,,,,12/12/2020,Warrens Deadstock,08/08/2019,No,,Lameness,UK121748500257,,86,
209018309,34,UK106710302134,N/A,HOLSTEIN FRIESIAN,Female,09/12/2014,UK106710201545,15/06/2018,3 yrs  6 mths,,,,,,08/08/2019,No,,,,,77,
209018331,203,UK106710102202,N/A,HOLSTEIN FRIESIAN,Female,17/04/2015,UK106710101285,15/06/2018,3 yrs  2 mths,,,,16/04/2021,Dundas Chemical Company,08/08/2019,No,FB incorrect,,,,73,
209018364,8324,UK106710402324,N/A,HOLSTEIN FRIESIAN,Female,08/02/2016,UK106710201713,15/06/2018,2 yrs  4 mths,,,,,,08/08/2019,No,,,,,63,
209018367,349,UK106710102349,N/A,HOLSTEIN FRIESIAN,Female,18/03/2016,UK106710101992,15/06/2018,2 yrs  3 mths,,,,,,08/08/2019,No,FB,,,,62,
209018368,8352,UK106710402352,N/A,HOLSTEIN FRIESIAN,Female,23/03/2016,UK106710701998,15/06/2018,2 yrs  3 mths,,18/02/2021,Linden Foods,,,08/08/2019,No,,,,,59,
209018369,355,UK106710702355,N/A,HOLSTEIN FRIESIAN,Female,27/03/2016,UK106710401603,15/06/2018,2 yrs  3 mths,,,,,,08/08/2019,No,,,,,61,
209018370,358,UK106710302358,N/A,HOLSTEIN FRIESIAN,Female,04/04/2016,UK106710502010,15/06/2018,2 yrs  2 mths,,,,,,08/08/2019,No,,,,,61,
209018372,361,UK106710602361,N/A,HOLSTEIN FRIESIAN,Female,06/04/2016,UK106710101677,15/06/2018,2 yrs  2 mths,,,,,,08/08/2019,No,,,,,61,
209018373,362,UK106710702362,N/A,HOLSTEIN FRIESIAN,Female,07/04/2016,UK106710501716,15/06/2018,2 yrs  2 mths,,,,,,08/08/2019,No,,,,,61,
209018281,991,UK106710701991,N/A,HOLSTEIN FRIESIAN,Female,21/12/2013,UK106710501702,06/07/2018,4 yrs  7 mths,,,,,,08/08/2019,No,,,,,89,
209018292,65,UK106710402065,N/A,HOLSTEIN FRIESIAN,Female,25/05/2014,UK106710501779,06/07/2018,4 yrs  2 mths,,,,,,08/08/2019,No,,,,,84,
209018304,22,UK106710202119,N/A,HOLSTEIN FRIESIAN,Female,26/10/2014,UK106710101054,06/07/2018,3 yrs  9 mths,,,,,,08/08/2019,No,,,,,78,
209018321,8167,UK106710102167,N/A,HOLSTEIN FRIESIAN,Female,26/02/2015,UK106710401736,06/07/2018,3 yrs  5 mths,,06/12/2020,SH2056 QUARRY COTTAGES,,,08/08/2019,No,,,,,70,
209018322,8169,UK106710302169,N/A,HOLSTEIN FRIESIAN,Female,01/03/2015,UK106710601703,06/07/2018,3 yrs  4 mths,,,,12/03/2021,Warrens Deadstock,08/08/2019,No,,,,,73,
209018326,74,UK106710102174,N/A,HOLSTEIN FRIESIAN,Female,06/03/2015,UK106710501380,06/07/2018,3 yrs  4 mths,,24/04/2020,Linden Foods,,,08/08/2019,No,,,,,62,
209018332,8204,UK106710302204,N/A,HOLSTEIN FRIESIAN,Female,22/04/2015,UK106710101677,06/07/2018,3 yrs  3 mths,,,,27/07/2020,Warrens,08/08/2019,No,,,,,64,
209018262,227,UK106710301805,N/A,HOLSTEIN FRIESIAN,Female,05/09/2012,UK106710601465,12/07/2018,5 yrs  10 mths,,16/07/2020,Linden Foods,,,08/08/2019,No,,,,,95,
209018264,8304,UK106710201853,N/A,HOLSTEIN FRIESIAN,Female,22/01/2013,UK523313400402,12/07/2018,5 yrs  6 mths,,,,,,08/08/2019,No,,,,,100,
209018269,903,UK106710301903,N/A,HOLSTEIN FRIESIAN,Female,30/06/2013,UK106710301406,12/07/2018,5 yrs  1 mths,,,,,,08/08/2019,No,,,,,95,
209018271,911,UK106710401911,N/A,HOLSTEIN FRIESIAN,Female,13/07/2013,UK520238600127,12/07/2018,5 yrs  0 mths,,,,17/01/2021,Warrens,08/08/2019,No,,Injury,,,91,
209018272,913,UK106710601913,N/A,HOLSTEIN FRIESIAN,Female,17/07/2013,UK106710200859,12/07/2018,5 yrs  0 mths,,,,,,08/08/2019,No,,,,,94,
209018274,922,UK106710101922,N/A,HOLSTEIN FRIESIAN,Female,27/07/2013,UK520238200382,12/07/2018,5 yrs  0 mths,,,,,,08/08/2019,No,,,,,94,
209018277,977,UK106710701977,N/A,HOLSTEIN FRIESIAN,Female,18/11/2013,UK106710501534,12/07/2018,4 yrs  8 mths,,,,,,08/08/2019,No,,,,,90,
209018278,978,UK106710101978,N/A,HOLSTEIN FRIESIAN,Female,25/11/2013,UK106710101705,12/07/2018,4 yrs  8 mths,,,,,,08/08/2019,No,,,,,90,
209018279,987,UK106710301987,N/A,HOLSTEIN FRIESIAN,Female,09/12/2013,UK122285200789,12/07/2018,4 yrs  7 mths,,,,,,08/08/2019,No,,,,,89,
209018280,990,UK106710601990,N/A,HOLSTEIN FRIESIAN,Female,20/12/2013,UK106710701480,12/07/2018,4 yrs  7 mths,,,,,,08/08/2019,No,,,,,89,
209018285,87,UK106710202007,N/A,HOLSTEIN FRIESIAN,Female,07/02/2014,UK106710201685,12/07/2018,4 yrs  5 mths,,,,05/11/2020,Warrens Deadstock,08/08/2019,No,,,,,82,
209018287,829,UK106710302029,N/A,HOLSTEIN FRIESIAN,Female,18/03/2014,UK106710201223,12/07/2018,4 yrs  4 mths,,,,,,08/08/2019,No,,,,,86,
209018291,850,UK106710302050,N/A,HOLSTEIN FRIESIAN,Female,26/04/2014,UK106710401134,12/07/2018,4 yrs  3 mths,,16/07/2020,Linden Foods,,,08/08/2019,No,,,,,75,
209018293,66,UK106710502066,N/A,HOLSTEIN FRIESIAN,Female,26/05/2014,UK106710501625,12/07/2018,4 yrs  2 mths,,16/07/2020,Linden Foods,,,08/08/2019,No,,,,,74,
209018295,79,UK106710402079,N/A,HOLSTEIN FRIESIAN,Female,10/07/2014,UK106710701655,12/07/2018,4 yrs  0 mths,,,,,,08/08/2019,No,,,,,82,
209018298,96,UK106710702096,N/A,HOLSTEIN FRIESIAN,Female,06/09/2014,UK106710701795,12/07/2018,3 yrs  10 mths,,11/11/2020,Linden Foods,,,08/08/2019,No,,,,,75,
209018300,8107,UK106710402107,N/A,HOLSTEIN FRIESIAN,Female,04/10/2014,UK106710201398,12/07/2018,3 yrs  9 mths,,,,,,08/08/2019,No,,,,,79,
209018301,8112,UK106710202112,N/A,HOLSTEIN FRIESIAN,Female,15/10/2014,UK106386400913,12/07/2018,3 yrs  9 mths,,,,05/01/2021,Warrens Deadstock,08/08/2019,No,,,,,75,
209018310,838,UK106710702138,N/A,HOLSTEIN FRIESIAN,Female,27/12/2014,UK106710101817,12/07/2018,3 yrs  7 mths,,,,,,08/08/2019,No,,,,,76,
209018313,86,UK106710402142,N/A,HOLSTEIN FRIESIAN,Female,06/01/2015,UK106710601836,12/07/2018,3 yrs  6 mths,,,,,,08/08/2019,No,,,,,76,
209018314,8143,UK106710502143,N/A,HOLSTEIN FRIESIAN,Female,08/01/2015,UK106710201713,12/07/2018,3 yrs  6 mths,,,,12/10/2020,Warrens Deadstock,08/08/2019,No,,Lost Pregnancy,,,70,
209018318,854,UK106710202154,N/A,HOLSTEIN FRIESIAN,Female,23/01/2015,UK106710701858,12/07/2018,3 yrs  6 mths,,,,26/11/2020,Warrens Deadstock,08/08/2019,No,,Injury,,,71,
209018319,61,UK106710102160,N/A,HOLSTEIN FRIESIAN,Female,14/02/2015,UK106710601801,12/07/2018,3 yrs  5 mths,,,,,,08/08/2019,No,,,,,75,
209018320,166,UK106710702166,N/A,HOLSTEIN FRIESIAN,Female,26/02/2015,UK106710101852,12/07/2018,3 yrs  5 mths,,11/11/2020,Linden Foods,,,08/08/2019,No,,,,,69,
209018328,181,UK106710102181,N/A,HOLSTEIN FRIESIAN,Female,21/03/2015,UK106710500883,12/07/2018,3 yrs  4 mths,,,,,,08/08/2019,No,,,,,74,
209018334,220,UK106710502220,N/A,HOLSTEIN FRIESIAN,Female,01/06/2015,UK106710601885,12/07/2018,3 yrs  1 mths,,,,,,08/08/2019,No,,,,,71,
209018335,8225,UK106710302225,N/A,HOLSTEIN FRIESIAN,Female,09/06/2015,UK106710401295,12/07/2018,3 yrs  1 mths,,,,,,08/08/2019,No,,,,,71,
209018336,8226,UK106710402226,N/A,HOLSTEIN FRIESIAN,Female,12/06/2015,UK106710501891,12/07/2018,3 yrs  1 mths,,25/06/2020,Linden Foods,,,08/08/2019,No,,,,,61,
209018339,240,UK106710402240,N/A,HOLSTEIN FRIESIAN,Female,16/07/2015,UK106710401729,12/07/2018,3 yrs  0 mths,,,,,,08/08/2019,No,,,,,70,
209018340,246,UK106710302246,N/A,HOLSTEIN FRIESIAN,Female,01/08/2015,UK106710701774,12/07/2018,2 yrs  11 mths,,29/10/2020,Linden Foods,,,08/08/2019,No,,,,,63,
209018341,248,UK106710502248,N/A,HOLSTEIN FRIESIAN,Female,08/08/2015,UK106710201608,12/07/2018,2 yrs  11 mths,,,,05/10/2020,Warrens Deadstock,08/08/2019,No,,,,,62,
209018343,256,UK106710602256,N/A,HOLSTEIN FRIESIAN,Female,14/09/2015,UK106710101908,12/07/2018,2 yrs  10 mths,,,,,,08/08/2019,No,,,,,68,
209018348,269,UK106710502269,N/A,HOLSTEIN FRIESIAN,Female,24/10/2015,UK106710301910,12/07/2018,2 yrs  9 mths,,,,,,08/08/2019,No,,,,,66,
209018352,8278,UK106710702278,N/A,HOLSTEIN FRIESIAN,Female,10/11/2015,UK106710101278,12/07/2018,2 yrs  8 mths,,,,,,08/08/2019,No,,,,,66,
209018359,300,UK106710102300,N/A,HOLSTEIN FRIESIAN,Female,27/12/2015,UK106710201944,12/07/2018,2 yrs  7 mths,,,,,,08/08/2019,No,na,,,,64,
209018375,370,UK106710102370,N/A,HOLSTEIN FRIESIAN,Female,21/04/2016,UK106386200939,12/07/2018,2 yrs  3 mths,,,,,,08/08/2019,No,,,,,60,
209018260,118,UK106710501611,N/A,HOLSTEIN FRIESIAN,Female,28/01/2011,UK106710701312,13/07/2018,7 yrs  6 mths,,,,07/09/2020,Warrens,08/08/2019,No,,,,,117,
209018261,221,UK106710401799,N/A,HOLSTEIN FRIESIAN,Female,20/08/2012,UK106710501499,13/07/2018,5 yrs  11 mths,,,,,,08/08/2019,No,,,,,105,
209018265,305,UK106710301854,N/A,HOLSTEIN FRIESIAN,Female,23/01/2013,UK106710201461,13/07/2018,5 yrs  6 mths,,,,,,08/08/2019,No,,,,,100,
209018267,891,UK106710501891,N/A,HOLSTEIN FRIESIAN,Female,07/05/2013,UK106710101649,13/07/2018,5 yrs  2 mths,,,,,,08/08/2019,No,na,,,,96,
209018268,897,UK106710401897,N/A,HOLSTEIN FRIESIAN,Female,16/06/2013,UK106710401302,13/07/2018,5 yrs  1 mths,,,,,,08/08/2019,No,,,,,95,
209018270,910,UK106710301910,N/A,HOLSTEIN FRIESIAN,Female,10/07/2013,UK106710201300,13/07/2018,5 yrs  0 mths,,,,27/08/2020,Warrens,08/08/2019,No,,Lameness,,,86,
209018294,69,UK106710102069,N/A,HOLSTEIN FRIESIAN,Female,07/06/2014,UK106710201664,13/07/2018,4 yrs  1 mths,,,,,,08/08/2019,No,,,,,83,
209018296,90,UK106710102090,N/A,HOLSTEIN FRIESIAN,Female,24/08/2014,UK520238200382,13/07/2018,3 yrs  11 mths,,,,,,08/08/2019,No,,,,,81,
